Wavelength,Excitation,Wavelength,Emission
578.2338308,0.637065637,551.7369727,0.135135135
574.5024876,0.741312741,555.4590571,0.196911197
572.0149254,0.822393822,558.560794,0.266409266
569.5273632,0.922779923,561.662531,0.355212355
563.9303483,0.996138996,563.5235732,0.432432432
558.9552239,0.976833977,565.3846154,0.521235521
567.6616915,0.965250965,567.2456576,0.583011583
555.2238806,0.888030888,569.1066998,0.656370656
552.1144279,0.806949807,570.3473945,0.725868726
549.0049751,0.725868726,571.5880893,0.791505792
544.6517413,0.644787645,574.0694789,0.876447876
539.6766169,0.586872587,576.5508685,0.945945946
534.079602,0.548262548,579.0322581,0.984555985
528.4825871,0.540540541,582.133995,0.996138996
521.0199005,0.471042471,586.4764268,0.961389961
515.4228856,0.405405405,589.5781638,0.888030888
509.2039801,0.335907336,592.0595533,0.810810811
503.6069652,0.293436293,594.5409429,0.756756757
497.3880597,0.28957529,597.0223325,0.683397683
493.0348259,0.293436293,600.1240695,0.602316602
489.3034826,0.281853282,603.8461538,0.517374517
483.7064677,0.277992278,606.9478908,0.451737452
475.6218905,0.216216216,610.0496278,0.382239382
467.5373134,0.16988417,615.6327543,0.308880309
458.8308458,0.127413127,620.5955335,0.243243243
448.880597,0.084942085,627.4193548,0.173745174
438.3084577,0.05019305,633.6228288,0.127413127
428.358209,0.023166023,640.4466501,0.081081081
415.2985075,0.011583012,650.9925558,0.042471042
403.4825871,0.003861004,660.9181141,0.019305019
,,676.426799,0.011583012
,,688.2133995,0.007722008
