wavelength,excitation,wavelength,emission
300,0.096,463,0.003
301,0.087,464,0.003
302,0.08,465,0.003
303,0.074,466,0.004
304,0.067,467,0.004
305,0.061,468,0.005
306,0.058,469,0.006
307,0.054,470,0.007
308,0.053,471,0.009
309,0.049,472,0.01
310,0.049,473,0.012
311,0.047,474,0.015
312,0.046,475,0.018
313,0.045,476,0.022
314,0.044,477,0.027
315,0.045,478,0.032
316,0.044,479,0.038
317,0.042,480,0.046
318,0.041,481,0.055
319,0.04,482,0.065
320,0.039,483,0.078
321,0.038,484,0.092
322,0.035,485,0.109
323,0.035,486,0.127
324,0.035,487,0.148
325,0.035,488,0.172
326,0.032,489,0.198
327,0.032,490,0.227
328,0.032,491,0.259
329,0.03,492,0.295
330,0.031,493,0.331
331,0.03,494,0.371
332,0.03,495,0.416
333,0.032,496,0.46
334,0.031,497,0.509
335,0.03,498,0.559
336,0.032,499,0.61
337,0.032,500,0.665
338,0.033,501,0.718
339,0.033,502,0.767
340,0.035,503,0.816
341,0.035,504,0.862
342,0.036,505,0.903
343,0.036,506,0.935
344,0.037,507,0.966
345,0.04,508,0.988
346,0.041,509,0.999
347,0.043,510,1
348,0.044,511,1
349,0.047,512,0.989
350,0.049,513,0.97
351,0.048,514,0.941
352,0.051,515,0.906
353,0.057,516,0.871
354,0.054,517,0.834
355,0.056,518,0.793
356,0.059,519,0.751
357,0.062,520,0.715
358,0.065,521,0.68
359,0.066,522,0.65
360,0.068,523,0.621
361,0.072,524,0.597
362,0.073,525,0.57
363,0.076,526,0.547
364,0.08,527,0.528
365,0.081,528,0.508
366,0.084,529,0.49
367,0.088,530,0.473
368,0.091,531,0.464
369,0.092,532,0.45
370,0.096,533,0.439
371,0.098,534,0.43
372,0.1,535,0.422
373,0.101,536,0.41
374,0.108,537,0.401
375,0.11,538,0.394
376,0.112,539,0.387
377,0.116,540,0.381
378,0.117,541,0.369
379,0.122,542,0.362
380,0.125,543,0.358
381,0.127,544,0.348
382,0.13,545,0.339
383,0.132,546,0.33
384,0.135,547,0.322
385,0.136,548,0.312
386,0.139,549,0.302
387,0.143,550,0.291
388,0.144,551,0.28
389,0.147,552,0.267
390,0.148,553,0.256
391,0.151,554,0.245
392,0.154,555,0.234
393,0.156,556,0.224
394,0.158,557,0.216
395,0.16,558,0.207
396,0.162,559,0.196
397,0.165,560,0.186
398,0.165,561,0.181
399,0.167,562,0.171
400,0.168,563,0.162
401,0.168,564,0.155
402,0.17,565,0.149
403,0.17,566,0.141
404,0.171,567,0.135
405,0.173,568,0.128
406,0.173,569,0.122
407,0.174,570,0.117
408,0.176,571,0.114
409,0.177,572,0.108
410,0.178,573,0.104
411,0.18,574,0.097
412,0.182,575,0.096
413,0.184,576,0.092
414,0.186,577,0.088
415,0.188,578,0.084
416,0.19,579,0.081
417,0.193,580,0.079
418,0.197,581,0.076
419,0.199,582,0.074
420,0.203,583,0.071
421,0.205,584,0.069
422,0.208,585,0.065
423,0.211,586,0.064
424,0.215,587,0.063
425,0.218,588,0.059
426,0.222,589,0.059
427,0.225,590,0.056
428,0.23,591,0.054
429,0.235,592,0.053
430,0.241,593,0.05
431,0.246,594,0.049
432,0.252,595,0.047
433,0.258,596,0.046
434,0.266,597,0.044
435,0.274,598,0.042
436,0.283,599,0.041
437,0.292,600,0.039
438,0.302,601,0.037
439,0.314,602,0.036
440,0.325,603,0.036
441,0.337,604,0.034
442,0.35,605,0.032
443,0.363,606,0.032
444,0.377,607,0.03
445,0.392,608,0.029
446,0.407,609,0.028
447,0.423,610,0.027
448,0.439,611,0.026
449,0.456,612,0.025
450,0.473,613,0.024
451,0.49,614,0.022
452,0.508,615,0.022
453,0.525,616,0.022
454,0.543,617,0.021
455,0.561,618,0.02
456,0.579,619,0.019
457,0.595,620,0.018
458,0.612,621,0.018
459,0.628,622,0.017
460,0.644,623,0.017
461,0.66,624,0.016
462,0.674,625,0.015
463,0.689,626,0.015
464,0.702,627,0.015
465,0.715,628,0.015
466,0.728,629,0.014
467,0.74,630,0.013
468,0.752,631,0.014
469,0.765,632,0.013
470,0.777,633,0.013
471,0.789,634,0.012
472,0.802,635,0.012
473,0.814,636,0.012
474,0.829,637,0.011
475,0.842,638,0.011
476,0.856,639,0.011
477,0.871,640,0.011
478,0.885,641,0.01
479,0.9,642,0.01
480,0.915,643,0.01
481,0.929,644,0.01
482,0.944,645,0.01
483,0.957,646,0.01
484,0.969,647,0.009
485,0.979,648,0.01
486,0.989,649,0.009
487,0.994,650,0.009
488,0.998,651,0.008
489,1,652,0.008
490,0.997,653,0.008
491,0.991,654,0.008
492,0.98,655,0.008
493,0.964,656,0.008
494,0.944,657,0.008
495,0.919,658,0.008
496,0.89,659,0.008
497,0.856,660,0.007
498,0.819,661,0.008
499,0.778,662,0.008
500,0.735,663,0.007
501,0.687,664,0.007
502,0.64,665,0.007
503,0.591,666,0.007
504,0.543,667,0.007
505,0.493,668,0.007
506,0.446,669,0.007
507,0.4,670,0.006
508,0.355,671,0.007
509,0.314,672,0.007
510,0.275,673,0.006
511,0.238,674,0.007
512,0.204,675,0.006
513,0.175,676,0.007
514,0.147,677,0.007
515,0.123,678,0.007
516,0.101,679,0.007
517,0.084,680,0.006
518,0.069,681,0.007
519,0.055,682,0.006
520,0.045,683,0.007
521,0.036,684,0.007
522,0.031,685,0.007
523,0.026,686,0.007
524,0.021,687,0.006
525,0.018,688,0.007
526,0.016,689,0.006
527,0.014,690,0.007
528,0.012,691,0.006
529,0.011,692,0.007
530,0.009,693,0.007
531,0.008,694,0.006
532,0.007,695,0.006
533,0.006,696,0.006
534,0.006,697,0.007
535,0.005,698,0.007
536,0.005,699,0.006
537,0.005,700,0.006
538,0.005,,
539,0.005,,
540,0.004,,
541,0.005,,
542,0.006,,
543,0.005,,
544,0.005,,
545,0.005,,
546,0.005,,
547,0.006,,
548,0.006,,
549,0.006,,
550,0.006,,
551,0.005,,
552,0.005,,
553,0.004,,
554,0.004,,
555,0.004,,
556,0.004,,
557,0.004,,
558,0.005,,
559,0.004,,
560,0.005,,
561,0.004,,
562,0.004,,
563,0.004,,
564,0.004,,
565,0.004,,
566,0.005,,
567,0.004,,
568,0.004,,
569,0.003,,
570,0.004,,
571,0.004,,
572,0.005,,
573,0.004,,
574,0.004,,
575,0.005,,
576,0.005,,
577,0.005,,
578,0.004,,
579,0.005,,
580,0.004,,
581,0.004,,
582,0.004,,
583,0.004,,
584,0.005,,
585,0.004,,
586,0.004,,
587,0.004,,
588,0.005,,
589,0.004,,
590,0.004,,
591,0.004,,
592,0.004,,
593,0.004,,
594,0.005,,
595,0.004,,
596,0.003,,
597,0.003,,
598,0.003,,
599,0.004,,
600,0.004,,
601,0.003,,
602,0.003,,
603,0.003,,
604,0.003,,
605,0.003,,
606,0.004,,
607,0.004,,
608,0.004,,
609,0.004,,
610,0.005,,
611,0.003,,
612,0.004,,
613,0.004,,
614,0.004,,
615,0.004,,
616,0.004,,
617,0.004,,
618,0.004,,
619,0.005,,
620,0.004,,
621,0.004,,
622,0.003,,
623,0.004,,
624,0.003,,
625,0.003,,
626,0.003,,
627,0.003,,
628,0.004,,
629,0.004,,
630,0.004,,
631,0.004,,
632,0.005,,
633,0.003,,
634,0.003,,
635,0.003,,
636,0.003,,
637,0.003,,
638,0.002,,
639,0.002,,
640,0.003,,
641,0.002,,
642,0.003,,
643,0.002,,
644,0.002,,
645,0.002,,
646,0.002,,
647,0.003,,
648,0.003,,
649,0.003,,
650,0.004,,
651,0.003,,
652,0.004,,
653,0.003,,
654,0.004,,
655,0.003,,
656,0.003,,
657,0.003,,
658,0.003,,
659,0.004,,
660,0.003,,
661,0.003,,
662,0.003,,
663,0.003,,
664,0.003,,
665,0.003,,
666,0.003,,
667,0.002,,
668,0.002,,
669,0.003,,
670,0.003,,
671,0.003,,
672,0.004,,
673,0.004,,
674,0.004,,
675,0.003,,
676,0.002,,
677,0.001,,
678,,,
679,0.002,,
680,0.001,,
681,0.001,,
682,,,
683,0.001,,
684,0.001,,
685,0.001,,
686,0.002,,
687,0.001,,
688,0.002,,
689,0.001,,
690,0.002,,
691,,,
692,0.001,,
693,0.001,,
694,,,
695,0.001,,
696,0.002,,
697,0.002,,
698,0.002,,
699,0.002,,
700,0.002,,
