wavelength,excitation,wavelength,emission
350,0.04841,490,0.00291
351,0.04831,491,0.00158
352,0.04837,492,0.00452
353,0.04902,493,0.00732
354,0.04971,494,0.00898
355,0.04943,495,0.00747
356,0.05043,496,0.01164
357,0.0508,497,0.01283
358,0.0514,498,0.01207
359,0.0514,499,0.02056
360,0.0514,500,0.02146
361,0.0514,501,0.02996
362,0.0514,502,0.03513
363,0.0514,503,0.04234
364,0.0514,504,0.05245
365,0.0514,505,0.06546
366,0.0514,506,0.08334
367,0.0514,507,0.1029
368,0.05191,508,0.12283
369,0.05322,509,0.15849
370,0.0534,510,0.1964
371,0.05341,511,0.23479
372,0.05344,512,0.28569
373,0.05363,513,0.34092
374,0.05409,514,0.39971
375,0.05471,515,0.46301
376,0.05459,516,0.52707
377,0.05506,517,0.59537
378,0.05605,518,0.66892
379,0.05557,519,0.72723
380,0.05573,520,0.79818
381,0.05658,521,0.86107
382,0.05719,522,0.90276
383,0.05719,523,0.94795
384,0.05861,524,0.96505
385,0.05818,525,0.98804
386,0.05913,526,0.99113
387,0.06025,527,1
388,0.0603,528,0.97506
389,0.05943,529,0.96956
390,0.05954,530,0.96112
391,0.06146,531,0.94076
392,0.06196,532,0.89666
393,0.06039,533,0.86722
394,0.0589,534,0.85114
395,0.05899,535,0.80348
396,0.05971,536,0.77814
397,0.06005,537,0.73821
398,0.06047,538,0.7098
399,0.05687,539,0.67748
400,0.05719,540,0.63342
401,0.05748,541,0.60006
402,0.05748,542,0.57648
403,0.05624,543,0.55271
404,0.05742,544,0.52689
405,0.05717,545,0.49875
406,0.05447,546,0.48479
407,0.05261,547,0.45425
408,0.05515,548,0.43127
409,0.05377,549,0.41531
410,0.05247,550,0.39257
411,0.05172,551,0.37616
412,0.05224,552,0.36505
413,0.05096,553,0.34707
414,0.04784,554,0.34319
415,0.04803,555,0.33636
416,0.04715,556,0.31515
417,0.0451,557,0.30685
418,0.0448,558,0.29697
419,0.0435,559,0.29095
420,0.04283,560,0.27842
421,0.04253,561,0.27474
422,0.03902,562,0.2674
423,0.0368,563,0.25368
424,0.03507,564,0.25284
425,0.03558,565,0.23803
