Wavelength,Excitation,Wavelength,Emission
332.2033898,0.161172161,455.5932203,0
357.1186441,0.142857143,478.1355932,0.007326007
372.5423729,0.19047619,500.6779661,0.018315018
378.4745763,0.234432234,523.220339,0.051282051
387.9661017,0.315018315,536.2711864,0.106227106
395.0847458,0.388278388,544.5762712,0.183150183
401.0169492,0.468864469,550.5084746,0.26007326
406.9491525,0.545787546,555.2542373,0.336996337
412.8813559,0.622710623,558.8135593,0.41025641
418.8135593,0.703296703,563.559322,0.490842491
423.559322,0.769230769,567.1186441,0.571428571
430.6779661,0.864468864,571.8644068,0.663003663
438.9830508,0.937728938,575.4237288,0.736263736
449.6610169,0.989010989,580.1694915,0.80952381
465.0847458,0.981684982,586.1016949,0.89010989
472.2033898,0.934065934,592.0338983,0.945054945
479.3220339,0.864468864,603.8983051,1
485.2542373,0.791208791,615.7627119,0.963369963
490,0.706959707,625.2542373,0.893772894
493.559322,0.652014652,632.3728814,0.820512821
498.3050847,0.575091575,637.1186441,0.747252747
503.0508475,0.498168498,643.0508475,0.673992674
507.7966102,0.421245421,648.9830508,0.593406593
512.5423729,0.344322344,654.9152542,0.52014652
518.4745763,0.267399267,660.8474576,0.454212454
524.4067797,0.194139194,669.1525424,0.377289377
533.8983051,0.124542125,678.6440678,0.296703297
543.3898305,0.080586081,685.7627119,0.245421245
557.6271186,0.036630037,696.440678,0.186813187
570.6779661,0.018315018,709.4915254,0.128205128
589.6610169,0.007326007,723.7288136,0.087912088
,,735.5932203,0.062271062
,,749.8305085,0.043956044
