Wavelength,Excitation,Wavelength,Emission
334.212132,0.070034806,467.1570014,0
343.4724545,0.078779639,502.1216407,0.005714286
352.6795708,0.099608213,525.884017,0.007619048
361.3462737,0.147176705,539.4625177,0.032380952
368.2891621,0.202266793,547.6096181,0.131428571
373.116339,0.257888733,551.6831683,0.243809524
377.1070852,0.311485456,554.738331,0.361904762
380.6652083,0.367341736,556.7751061,0.451428571
383.8325133,0.415963206,559.1513437,0.552380952
386.9684646,0.471705451,560.8486563,0.651428571
389.7087205,0.521320563,562.8854314,0.740952381
392.440267,0.572913668,565.261669,0.838095238
395.5596705,0.6324141,568.3168317,0.927619048
399.1099552,0.690050574,572.0509194,0.996190476
403.0777087,0.748869198,577.1428571,0.961904762
406.6295611,0.806149633,582.9137199,0.868571429
410.2159026,0.855597215,588.3451202,0.758095238
415.446775,0.915529361,591.7397454,0.676190476
422.4210877,0.963482662,596.1527581,0.60952381
432.4253481,0.995258828,603.281471,0.527619048
440.5563038,0.972513561,610.7496464,0.47047619
447.1430706,0.916494939,617.5388967,0.420952381
452.4330879,0.867000675,623.6492221,0.36952381
456.4604715,0.816282687,629.7595474,0.312380952
460.0562771,0.767586897,635.1909477,0.266666667
463.2563874,0.712763973,642.3196605,0.211428571
466.036416,0.657352296,650.8062235,0.16
468.3676222,0.607879244,659.6322489,0.121904762
470.3040039,0.552081259,669.1371994,0.093333333
472.6892081,0.490344649,678.6421499,0.072380952
475.1109916,0.420300469,689.844413,0.051428571
477.0682757,0.3597553,697.9915134,0.04
479.4499962,0.298809888,,
482.268346,0.234695042,,
485.0344397,0.182448154,,
488.2371628,0.127031833,,
493.1480822,0.067640945,,
500.9589556,0.021595968,,
510.3361419,0.003799731,,
519.6487206,0.000676606,,
528.9489478,0.000358635,,
538.2463247,0.000688008,,
547.5456019,0.000585818,,
555.9960064,0.001284115,,
