wavelength,excitation,excitation,emission
400,0.030064541,584,0.013086189
401,0.028350294,585,0.010434999
402,0.027056172,586,0.009421111
403,0.026369963,587,0.009984269
404,0.025419654,588,0.010512084
405,0.023894081,589,0.011874511
406,0.023622218,590,0.01318963
407,0.022301643,591,0.015082596
408,0.021113424,592,0.017286264
409,0.020195238,593,0.019194325
410,0.019693903,594,0.022167445
411,0.019026717,595,0.024854911
412,0.018310982,596,0.028562588
413,0.017295365,597,0.032145048
414,0.016537296,598,0.035222028
415,0.016219298,599,0.040050204
416,0.01537923,600,0.045537764
417,0.015055764,601,0.050715045
418,0.015000958,602,0.057032814
419,0.014523253,603,0.062903189
420,0.014045452,604,0.069282312
421,0.014122277,605,0.076416485
422,0.013519099,606,0.086757875
423,0.014012382,607,0.095019839
424,0.013186335,608,0.105195714
425,0.013315156,609,0.113630365
426,0.013568476,610,0.126843093
427,0.013571896,611,0.137772318
428,0.01342195,612,0.151321015
429,0.013432383,613,0.163173985
430,0.013644048,614,0.178765469
431,0.014237928,615,0.193203705
432,0.014138094,616,0.207792999
433,0.014328533,617,0.227856931
434,0.014222181,618,0.242678335
435,0.014837908,619,0.260425301
436,0.014822564,620,0.281517603
437,0.014858874,621,0.302322417
438,0.014864716,622,0.32086572
439,0.015255049,623,0.333309001
440,0.01485711,624,0.361453668
441,0.015378794,625,0.380631008
442,0.01527159,626,0.397614562
443,0.015406999,627,0.415849751
444,0.015965138,628,0.434551925
445,0.016707648,629,0.461044424
446,0.016443388,630,0.483232126
447,0.017192325,631,0.496235836
448,0.017298402,632,0.520891766
449,0.017300579,633,0.550967056
450,0.017647292,634,0.563312474
451,0.017272144,635,0.582600006
452,0.017483315,636,0.605291684
453,0.018571197,637,0.625386749
454,0.018154573,638,0.65128167
455,0.018867049,639,0.661615987
456,0.01912075,640,0.692520333
457,0.020533111,641,0.701149527
458,0.019908634,642,0.727354321
459,0.019903218,643,0.748256833
460,0.020672828,644,0.775401497
461,0.021000216,645,0.780012738
462,0.020731946,646,0.796758978
463,0.020898279,647,0.813666136
464,0.020659646,648,0.826505822
465,0.021820919,649,0.842886856
466,0.021963604,650,0.863018358
467,0.022408381,651,0.865513564
468,0.022754907,652,0.877825132
469,0.02288578,653,0.894862268
470,0.022910838,654,0.914386006
471,0.024044892,655,0.914560774
472,0.024278898,656,0.932186443
473,0.025291892,657,0.933087592
474,0.026376554,658,0.946523135
475,0.026686296,659,0.951099955
476,0.027302369,660,0.952389968
477,0.0280996,661,0.96196682
478,0.028775005,662,0.978140083
479,0.029642791,663,0.97876661
480,0.031341127,664,0.982238601
481,0.032770689,665,0.991782456
482,0.033482106,666,1.001934832
483,0.033855888,667,0.992919182
484,0.034146131,668,0.989884111
485,0.035379878,669,0.990345824
486,0.035417806,670,0.98751355
487,0.03552714,671,0.993290249
488,0.036761797,672,0.99999993
489,0.038137183,673,0.983649071
490,0.039624894,674,0.975882242
491,0.041530677,675,0.978587584
492,0.042532433,676,0.977490793
493,0.043735401,677,0.96702247
494,0.043556876,678,0.957054337
495,0.047125254,679,0.960508137
496,0.04830951,680,0.945184229
497,0.05045068,681,0.940202448
498,0.053940285,682,0.924714311
499,0.0550578,683,0.921244839
500,0.056462328,684,0.903316142
501,0.059901398,685,0.894820372
502,0.063458275,686,0.896010164
503,0.067562428,687,0.89582124
504,0.06853379,688,0.883994963
505,0.073189662,689,0.88193734
506,0.075135388,690,0.862707385
507,0.080481376,691,0.869844286
508,0.081751758,692,0.865592196
509,0.085518246,693,0.862606546
510,0.09043336,694,0.85312046
511,0.093571334,695,0.855979799
512,0.094470033,696,0.84396203
513,0.100399702,697,0.840168231
514,0.102332017,698,0.835159565
515,0.107326603,699,0.833689503
516,0.113397834,700,0.826042948
517,0.117966737,701,0.835274867
518,0.122644693,702,0.824279849
519,0.125962681,703,0.82049114
520,0.129360622,704,0.81154963
521,0.132218563,705,0.804281928
522,0.138999747,706,0.792676939
523,0.14343667,707,0.78530123
524,0.152009116,708,0.775406633
525,0.161305215,709,0.770406101
526,0.163308018,710,0.762628712
527,0.172379269,711,0.759281746
528,0.175178447,712,0.743149549
529,0.175768072,713,0.735351507
530,0.178226442,714,0.727754871
531,0.183559344,715,0.727097538
532,0.192381969,716,0.719887272
533,0.201770545,717,0.702763081
534,0.207981282,718,0.699596116
535,0.210083704,719,0.695591081
536,0.223243929,720,0.686797852
537,0.225875512,721,0.678030155
538,0.245050845,722,0.669015078
539,0.255628785,723,0.653714133
540,0.269230456,724,0.654488906
541,0.280502461,725,0.634709006
542,0.286333886,726,0.627352892
543,0.298755124,727,0.621553383
544,0.303174377,728,0.615594427
545,0.307661472,729,0.60831577
546,0.322147159,730,0.595423534
547,0.33130994,731,0.586294501
548,0.333109084,732,0.582076184
549,0.350674899,733,0.572234014
550,0.355766184,734,0.565262999
551,0.373876538,735,0.553582852
552,0.381464965,736,0.545903841
553,0.392539211,737,0.536956636
554,0.393182793,738,0.522108523
555,0.402887009,739,0.517299519
556,0.411585188,740,0.50872687
557,0.422377863,741,0.504526118
558,0.430043536,742,0.497527484
559,0.434855202,743,0.494738419
560,0.443238835,744,0.48656382
561,0.454085127,745,0.480202839
562,0.460045375,746,0.474190923
563,0.466691585,747,0.464682853
564,0.471480597,748,0.457491753
565,0.490767866,749,0.450809243
566,0.493273732,750,0.446080131
567,0.493877094,751,0.437065972
568,0.507185453,752,0.428762931
569,0.509866602,753,0.423264
570,0.531638148,754,0.41569932
571,0.542809957,755,0.408609244
572,0.540455242,756,0.403871626
573,0.541840177,757,0.39594544
574,0.546973812,758,0.391626736
575,0.561666603,759,0.376395752
576,0.570992897,760,0.37624001
577,0.583627953,761,0.369238152
578,0.597535563,762,0.364840474
579,0.608805262,763,0.354629592
580,0.61994176,764,0.350199819
581,0.634267128,765,0.341139782
582,0.649601669,766,0.335312722
583,0.670184471,767,0.332495406
584,0.690359157,768,0.322722848
585,0.713144606,769,0.314503502
586,0.725432762,770,0.310107883
587,0.744342345,771,0.306262007
588,0.772496895,772,0.295571851
589,0.792704703,773,0.293868235
590,0.81943179,774,0.286378527
591,0.82465107,775,0.279626383
592,0.854614819,776,0.276113104
593,0.866626106,777,0.270064918
594,0.899091669,778,0.264228346
595,0.907937391,779,0.261386695
596,0.934892255,780,0.258154228
597,0.946659323,781,0.250291943
598,0.946767859,782,0.246757372
599,0.933855284,783,0.242719178
600,0.967847499,784,0.239344397
601,0.977314859,785,0.235766239
602,0.999999994,786,0.228899982
603,0.997239588,787,0.227714125
604,0.991239622,788,0.221944656
605,1.003834044,789,0.216704891
606,0.983325412,790,0.216236581
607,0.973559121,791,0.20509258
608,0.97765886,792,0.201782639
609,0.952799231,793,0.199385743
610,0.934729955,794,0.197805971
611,0.923104781,795,0.190350048
612,0.911405259,796,0.18584799
613,0.893019426,797,0.183382457
614,0.868909785,798,0.179859972
615,0.831230503,799,0.173077282
616,0.810218468,800,0.17263386
617,0.774631345,800.94,0.167266634
618,0.753424006,802.02,0.161158983
619,0.715999116,802.97,0.158945076
620,0.69942952,804.05,0.154736652
621,0.664437952,805,0.150029028
622,0.632827482,805.94,0.146819661
623,0.587096176,807.02,0.141684616
624,0.55748252,807.97,0.135487486
625,0.543414916,809.05,0.132133935
626,0.528223986,810,0.127768536
627,0.49252744,810.95,0.124771505
628,0.465192377,812.05,0.119803026
629,0.440011993,813.01,0.11587381
630,0.410320144,813.97,0.110052316
631,0.383553162,815.06,0.106879334
632,0.362370517,816.02,0.105571353
633,0.343286508,816.98,0.100381818
634,0.313924348,817.94,0.098353999
635,0.292240932,819.04,0.09222183
636,0.276494696,820,0.09052784
637,0.260036327,821,0.086275423
638,0.241639773,822,0.082079554
639,0.221558762,823,0.078732736
640,0.203812563,824,0.074985357
641,0.192015492,825,0.070802852
642,0.179246645,826,0.067453613
643,0.168317,827,0.061937558
644,0.154400088,828,0.059994895
645,0.138619814,829,0.057538298
646,0.132612041,830,0.051970206
647,0.122960044,831,0.049383788
648,0.11178079,832,0.046415355
649,0.104377154,833,0.0429024
650,0.09431855,834,0.040229869
651,0.088500521,835,0.037349627
652,0.079989714,836,0.035012654
653,0.072711101,837,0.032560564
654,0.069608409,838,0.02913088
655,0.062543724,839,0.026729397
656,0.058705709,840,0.025507517
657,0.052557331,841,0.023460728
658,0.049358458,842,0.021517321
659,0.044837109,843,0.019606248
660,0.04271552,844,0.018301103
661,0.039276087,845,0.015304212
662,0.036656773,846,0.013449931
663,0.032355356,847,0.013860844
664,0.032527686,848,0.011191593
665,0.029454908,849,0.010143661
666,0.026249746,850,0.010212807
667,0.022842832,851,0.009397385
668,0.023921356,852,0.008228813
669,0.020848777,853,0.007055977
670,0.017578759,854,0.006189589
671,0.019774979,855,0.007169208
672,0.015693892,856,0.005166103
673,0.017771152,857,0.006226877
674,0.017263049,858,0.005983951
675,0.024517241,859,0.004951731
,,860,0.00435184
,,861,0.003159715
,,862,0.004524185
,,863,0.004375239
,,864,0.004337952
,,865,0.003397896
,,866,0.003414715
,,867,0.003671886
,,868,0.00301135
,,869,0.002670678
,,870,0.0022137
,,871,0.002690881
,,872,0.00263927
,,873,0.003070678
,,874,0.001371425
,,875,0.002490144
,,876,0.002897666
,,877,0.002085675
,,878,0.002127696
,,879,0.0020798
,,880,0.002129943
,,881,0.001837077
,,882,0.002438775
,,883,0.001139547
,,884,0.002249778
,,885,0.002389095
,,886,0.001969911
,,887,0.001356842
,,888,0.002277098
,,889,0.00205533
,,890,0.001940571
,,891,0.002200388
,,892,0.002178509
,,893,0.001895431
,,894,0.002038412
,,895,0.001465732
,,896,0.00193819
,,897,0.002853652
,,898,0.001178627
,,899,0.002084939
,,900,0.001628455
