Wavelength,Excitation,Wavelength,Emission
325,1.71313,455,0.17786
326,1.6465,456,0.18931
327,1.5889,457,0.20217
328,1.53595,458,0.21853
329,1.4876,459,0.26208
330,1.37556,460,0.31033
331,1.28281,461,0.35454
332,1.20697,462,0.40792
333,1.14398,463,0.49077
334,1.09023,464,0.60577
335,1.04642,465,0.73224
336,1.00646,466,0.92012
337,0.96995,467,1.0243
338,0.9369,468,1.23598
339,0.91009,469,1.49368
340,0.88385,470,1.8304
341,0.8587,471,2.22098
342,0.83467,472,2.74051
343,0.81503,473,3.24736
344,0.79909,474,3.87851
345,0.78809,475,4.76079
346,0.78199,476,5.60895
347,0.78158,477,6.50945
348,0.7845,478,7.85975
349,0.79065,479,9.35976
350,0.80028,480,10.90408
351,0.81616,481,12.7594
352,0.83672,482,14.81031
353,0.86035,483,17.20827
354,0.8875,484,19.70827
355,0.92124,485,22.39248
356,0.95673,486,25.47261
357,0.9953,487,29.10215
358,1.03869,488,32.88915
359,1.08632,489,36.80559
360,1.13338,490,41.78926
361,1.1849,491,46.18904
362,1.23886,492,50.76907
363,1.29567,493,56.09731
364,1.35319,494,61.26992
365,1.41582,495,66.58292
366,1.47898,496,71.40709
367,1.54391,497,76.99463
368,1.60793,498,81.8652
369,1.67589,499,85.90773
370,1.74306,500,89.7797
371,1.81307,501,93.46348
372,1.8842,502,96.35747
373,1.95828,503,98.18249
374,2.03334,504,100.04501
375,2.11155,505,99.86316
376,2.19044,506,99.63061
377,2.27603,507,98.09066
378,2.36485,508,97.07798
379,2.45576,509,95.15822
380,2.55026,510,92.06423
381,2.65001,511,88.74243
382,2.7536,512,85.71418
383,2.86219,513,82.22503
384,2.98014,514,78.80569
385,3.10914,515,76.11933
386,3.2472,516,73.0014
387,3.39456,517,70.31923
388,3.55729,518,67.21557
389,3.73176,519,64.81987
390,3.91448,520,62.28088
391,4.10705,521,59.99431
392,4.31248,522,57.46026
393,4.52348,523,56.31719
394,4.74022,524,54.41805
395,4.96489,525,52.73469
396,5.19909,526,51.88303
397,5.43477,527,50.24458
398,5.67904,528,48.90559
399,5.93703,529,47.65252
400,6.21162,530,46.53319
401,6.5,531,45.48303
402,6.81034,532,44.69023
403,7.14335,533,43.65016
404,7.49485,534,43.31998
405,7.86455,535,42.08904
406,8.25886,536,41.19055
407,8.67202,537,39.95199
408,9.10387,538,39.24221
409,9.55564,539,38.50064
410,10.02953,540,37.45242
411,10.52345,541,36.02374
412,11.04136,542,35.07078
413,11.58407,543,33.88056
414,12.14968,544,33.04898
415,12.73643,545,31.65231
416,13.34773,546,30.40526
417,13.98486,547,29.33394
418,14.64883,548,28.10043
419,15.3356,549,26.99828
420,16.05127,550,26.38131
421,16.79503,551,25.07927
422,17.56478,552,23.62191
423,18.35984,553,22.57444
424,19.19387,554,21.38034
425,20.06224,555,20.63985
426,20.97545,556,19.63126
427,21.92027,557,18.96831
428,22.90867,558,17.95564
429,23.93329,559,17.40247
430,24.99451,560,16.25306
431,26.09223,561,16.1305
432,27.24498,562,15.36219
433,28.42821,563,14.40924
434,29.64246,564,13.98625
435,30.88209,565,13.61439
436,32.14591,566,13.02599
437,33.4279,567,12.58303
438,34.73419,568,12.11031
439,36.06858,569,11.88367
440,37.42363,570,11.42578
441,38.79239,571,11.17175
442,40.2036,572,10.86606
443,41.6716,573,10.60308
444,43.19652,574,10.00244
445,44.78936,575,9.80769
446,46.44923,576,9.5609
447,48.14955,577,9.23036
448,49.88351,578,8.969
449,51.64812,579,8.93065
450,53.46146,580,8.66129
451,55.30414,581,8.46932
452,57.16389,582,8.19011
453,59.03755,583,7.82624
454,60.93719,584,7.48738
455,62.87466,585,7.44065
456,64.89975,586,7.3435
457,66.99464,587,6.89149
458,69.11229,588,6.80425
459,71.22659,589,6.77494
460,73.3908,590,6.53992
461,75.5859,591,6.31273
462,77.78632,592,6.0494
463,79.93335,593,5.76597
464,81.96108,594,5.61683
465,83.7393,595,5.261
466,85.27228,596,5.37646
467,86.65452,597,5.18739
468,87.94163,598,4.68048
469,89.08928,599,4.47455
470,90.11308,600,4.47127
471,91.023,601,3.88526
472,91.85772,602,3.79237
473,92.71437,603,3.61028
474,93.71437,604,3.51184
475,94.84499,605,3.36393
476,96.02534,606,3.14026
477,97.15079,607,2.99966
478,98.14012,608,2.88309
479,98.94595,609,3.03768
480,99.53827,610,2.7191
481,99.91571,611,2.72054
482,99.99901,612,2.51995
483,99.78466,613,2.4453
484,99.30046,614,2.4793
485,98.59732,615,2.18084
486,97.68901,616,2.17624
487,96.57613,617,2.17158
488,95.19623,618,1.9948
489,93.52518,619,1.86628
490,91.48208,620,1.92513
491,89.05119,621,1.81113
492,86.22452,622,1.88046
493,83.0209,623,1.72568
494,79.38391,624,1.52603
495,75.3535,625,1.63532
496,70.98662,626,1.52073
497,66.39215,627,1.43747
498,61.62885,628,1.51959
499,56.80852,629,1.34134
500,51.99609,630,1.33574
501,47.22354,631,1.3226
502,42.50219,632,1.25232
503,37.9127,633,1.21888
504,33.50233,634,1.09985
505,29.33274,635,1.04209
506,25.43919,636,1.15765
507,21.87254,637,1.14006
508,18.64823,638,0.96904
509,15.77589,639,0.98364
510,13.24291,640,0.96831
511,11.03844,641,0.87384
512,9.15403,642,0.92873
513,7.55238,643,0.96706
514,6.20118,644,0.76095
515,5.0789,645,0.79858
516,4.15067,646,0.87839
517,3.38357,647,0.75991
518,2.7574,648,0.68551
519,2.24957,649,0.74421
520,1.85232,650,0.57386
521,1.62983,,
522,1.44068,,
523,1.28132,,
524,1.14803,,
