Wavelength,Excitation,Wavelength,Emission
400,0.259243555,535,0.958695905
401,0.217401015,536,1.089936185
402,0.197846973,537,1.18387081
403,0.202388876,538,1.324381938
404,0.211696312,539,1.509940141
405,0.196734135,540,1.715158492
406,0.200832201,541,2.031040277
407,0.193728218,542,2.498711179
408,0.210176177,543,3.125639886
409,0.219043576,544,3.690244297
410,0.207082078,545,4.20876905
411,0.198617412,546,5.175921371
412,0.176952729,547,6.297433965
413,0.192501601,548,7.673588083
414,0.181037896,549,9.281082669
415,0.202227216,550,10.85881705
416,0.213086024,551,12.61159673
417,0.190856192,552,14.61344372
418,0.213304935,553,16.76743319
419,0.182068759,554,20.26217502
420,0.188751356,555,23.58670597
421,0.188335744,556,27.56132251
422,0.201518425,557,30.04540638
423,0.204292942,558,34.57643054
424,0.1937601,559,39.29194382
425,0.195926743,560,43.11492662
426,0.211572869,561,48.08804221
427,0.228948799,562,52.11763409
428,0.212551553,563,57.19971702
429,0.229062569,564,61.74021172
430,0.256078162,565,64.90603626
431,0.25830721,566,70.16896551
432,0.239409001,567,74.23532758
433,0.272720411,568,78.23108985
434,0.298270309,569,81.15554068
435,0.293408818,570,83.64065272
436,0.318831132,571,86.41387682
437,0.321486543,572,88.88788861
438,0.351682531,573,91.17911628
439,0.36310678,574,93.42003647
440,0.372755567,575,95.10902531
441,0.382940364,576,96.79216986
442,0.41617737,577,97.34089895
443,0.425363674,578,97.32687762
444,0.43886863,579,98.96242173
445,0.452743756,580,99.58313747
446,0.498322876,581,99.46254564
447,0.506440918,582,99.36835119
448,0.540558583,583,100.0006111
449,0.535234629,584,99.98080989
450,0.555033784,585,99.71784905
451,0.622396248,586,99.09510009
452,0.682982119,587,98.11365177
453,0.735043599,588,98.22556455
454,0.718541007,589,98.06255637
455,0.781582309,590,97.15664087
456,0.858550821,591,96.71304181
457,0.91295454,592,95.37306222
458,0.953879355,593,94.40083767
459,1.018221098,594,93.33199257
460,0.991836939,595,92.09343524
461,1.099775387,596,92.60139045
462,1.101267334,597,91.24733335
463,1.133173971,598,89.10615803
464,1.257512934,599,88.53882445
465,1.381045743,600,87.86102165
466,1.454416047,601,86.8846032
467,1.536916073,602,84.76445926
468,1.680299025,603,83.59381782
469,1.766732349,604,82.65853007
470,1.875865033,605,81.38882132
471,2.022593688,606,80.88112214
472,2.146489068,607,78.83657049
473,2.356489095,608,77.86154467
474,2.417771134,609,76.32127911
475,2.642302416,610,76.41888643
476,2.874693121,611,73.87918966
477,3.050036672,612,69.50175335
478,3.156295053,613,67.5353715
479,3.366466764,614,66.33394314
480,3.758389536,615,65.61094757
481,4.21002372,616,64.35675594
482,4.38942202,617,63.42315805
483,4.487411235,618,62.02719339
484,4.481542749,619,60.62418959
485,4.67840242,620,59.83383859
486,4.641669372,621,58.60092941
487,4.716325189,622,57.08672398
488,5.156460487,623,55.89752077
489,5.268497626,624,55.19549268
490,5.574102531,625,53.82970235
491,5.819911767,626,52.79455028
492,5.947617793,627,51.01705673
493,6.287225034,628,50.0966466
494,6.663754013,629,48.83496781
495,6.978637616,630,47.63203254
496,7.697741473,631,47.65309753
497,8.259993608,632,45.27103174
498,8.585014077,633,44.77357795
499,9.013760355,634,43.53374352
500,9.519949774,635,42.56047432
501,10.20158349,636,41.85672987
502,11.13116613,637,40.80383815
503,11.99319738,638,40.3366965
504,12.62874492,639,38.1048994
505,13.6324167,640,37.94080416
506,14.55006852,641,36.51504685
507,15.5749627,642,35.08441927
508,16.84218411,643,34.70949283
509,17.41614759,644,33.7178613
510,18.15779045,645,33.03560931
511,19.20257561,646,32.27533401
512,19.91915985,647,32.05110594
513,21.17502033,648,30.18650354
514,21.7261876,649,28.74967549
515,23.27287539,650,28.48046377
516,24.57167203,651,27.75071875
