Wavelength,Excitation,Wavelength,Emission
300,2.424656641,464.9200134,0.523177857
302,2.315376719,466.8599854,0.734118896
304,2.240977752,468.9500122,1.084434184
306,2.261120135,470.8999939,1.560919648
308,2.238043523,472.8699951,2.310947144
310,2.143732519,474.8399963,3.378168397
312.0299988,2.079236928,476.9599915,5.068436259
314.0599976,1.822718569,478.9299927,7.552814562
315.9299927,1.677800545,480.8999939,10.50049649
317.9599915,1.467209301,482.8699951,15.06249145
320,1.402597877,484.8399963,20.75756232
322,1.213536837,486.9599915,28.45934337
324,1.036942457,488.9299927,37.79934123
326,0.736439433,490.8900146,48.72920348
328,0.62551215,492.980011,61.1807805
330,0.616555162,494.9200134,72.71128018
332,0.582979815,496.8599854,83.19819342
334,0.585240475,498.9500122,91.72282866
336,0.562138531,500.8900146,97.52830028
338,0.48705281,502.980011,100.000001
340,0.597425181,504.9200134,98.24637778
342,0.55523959,506.8599854,94.75075385
344,0.594291212,508.9500122,88.26368579
346,0.624936097,510.8900146,81.75361458
348,0.652203623,512.9799805,74.01024068
350,0.702866253,514.9199829,67.13075123
352,0.861459876,516.8599854,61.25036156
354,0.940902538,518.9500122,55.67494576
356,0.985553521,520.8900146,51.29685213
358,1.13233748,522.9799805,47.57531055
360,1.171206267,524.9199829,45.01453637
362,1.18078164,526.8599854,42.57897511
364,1.216976302,528.9500122,40.51302647
366,1.420748416,530.8900146,38.59049012
368,1.556298153,532.9799805,36.8578084
370,1.943158882,534.9199829,35.22729517
372,2.077829048,536.8599854,33.53197529
374,2.388958457,538.9500122,31.45597709
376,2.529570723,540.8800049,29.65840332
378,2.531736692,542.9400024,27.27460374
380,2.790076537,544.8499756,24.94738148
381.9599915,3.23746273,546.9099731,22.46526153
383.9299927,3.609295213,548.9699707,20.25073445
386.0599976,3.727172902,550.8900146,18.23205875
388.0299988,4.189666448,552.9799805,16.37216422
390,4.495414271,554.9199829,14.88997759
392,4.913719787,556.8599854,13.44511008
394,5.043210461,558.9500122,12.14257981
396,5.446421997,560.8800049,11.0929473
398,6.074353394,562.9400024,9.97232805
400,6.678441426,564.8499756,9.061669906
402,7.376449268,566.9099731,8.241430483
404,7.877126401,568.9699707,7.645061611
406,8.38589032,570.8800049,6.982886143
408,9.177582545,572.9400024,6.323329095
410,9.892631097,574.8499756,5.943907348
411.9599915,10.95966282,576.9099731,5.549487852
413.9299927,12.20681127,578.9699707,5.104051125
416.0599976,14.23751692,580.8800049,4.771918894
418.0299988,15.3104122,582.9400024,4.384420615
420,16.24161167,584.8499756,4.020938025
421.9599915,17.06116466,586.9099731,3.766134619
423.9299927,17.65682199,588.9699707,3.453975209
426.0599976,18.72449634,590.8800049,3.110708432
428.0299988,20.16169332,592.9400024,2.853293601
430,22.37031733,594.8499756,2.596958611
431.9599915,25.09353793,596.9099731,2.316252281
433.9299927,27.26102435,598.9699707,2.093034679
436.0599976,29.35519328,600.8599854,1.933466753
438.0299988,33.1998329,602.8900146,1.727294842
440,35.04980709,604.9199829,1.60931128
441.9599915,36.79838529,606.9500122,1.435281109
443.9299927,40.82006633,608.9799805,1.281211793
446.0599976,43.96507156,610.8800049,1.210283685
448.0299988,44.98105347,612.9400024,1.077075582
450,47.08720114,614.8499756,0.999424057
451.9599915,50.43380198,616.9099731,0.935453706
453.9299927,54.20540587,618.9699707,0.816916693
456.0599976,59.63221097,620.8599854,0.786109384
458.0299988,63.28507004,622.8900146,0.67668056
460,62.48376845,624.9199829,0.659651437
461.9599915,61.25424534,626.9500122,0.62099853
463.9299927,63.64838631,628.9799805,0.564737967
466.0599976,68.041493,630.8599854,0.493924222
468.0299988,70.2138327,632.8900146,0.479731844
470,73.62470593,634.9199829,0.433845052
471.9599915,76.71712219,636.9500122,0.376969624
473.9299927,80.4281302,638.9799805,0.381050897
476.0599976,83.23727537,640.8599854,0.351438113
478.0299988,86.15642615,642.8900146,0.333847164
480,94.80095579,644.9199829,0.289826876
481.9400024,99.99996872,646.9500122,0.281301776
484.019989,92.38828164,648.9799805,0.253801041
485.9700012,84.95715277,650.8499756,0.235610551
488.0499878,79.74346997,652.8499756,0.228174772
490,76.13679013,654.8499756,0.194054858
491.9400024,68.70927748,656.8499756,0.168185103
494.019989,60.72845201,658.8499756,0.159404677
495.9700012,55.0016568,660.8599854,0.144894949
498.0499878,47.83071242,662.8900146,0.161609287
500,40.36566334,664.9199829,0.132072035
501.9599915,33.57040875,666.9500122,0.146658434
503.9299927,27.95244389,668.9799805,0.116598669
506.0599976,22.82604326,670.8499756,0.109605936
508.0299988,17.77255631,672.8499756,0.086893245
510,13.72566866,674.8499756,0.118411328
511.9400024,10.22889272,676.8499756,0.070663234
514.0200195,7.139028165,678.8499756,0.08428175
515.9699707,5.054827966,680.8499756,0.083084187
,,682.8499756,0.073144655
,,684.8499756,0.059854965
,,686.8499756,0.070971512
,,688.8499756,0.0801828
,,690.9799805,0.073678748
,,692.9500122,0.059543454
,,694.9199829,0.055187602
,,696.9000244,0.052095077
,,698.8699951,0.062245829
,,700.8499756,0.070716526
