Wavelength,Excitation,Wavelength,Emission
504.8274602,0.021499217,682.1422132,0.347699553
516.6576207,0.021499217,685.7200811,0.410550766
528.4915167,0.027836939,689.4768425,0.495704023
540.3265495,0.036103532,692.1602434,0.577816092
552.1646681,0.049605634,694.8436444,0.66753113
564.0078213,0.071649882,697.5270453,0.757246169
575.8569837,0.103889595,701.2838066,0.865208333
587.7152409,0.151560281,705.3983547,0.948840996
598.5044351,0.210100007,716.3108519,0.95036159
607.6834888,0.273836971,719.5309331,0.88345546
615.7896397,0.34192811,722.7510142,0.802863985
624.4345956,0.411835495,725.9710953,0.713148946
635.2247642,0.472028539,728.6544963,0.617351533
646.5501754,0.527993375,732.4112576,0.532198276
655.196328,0.599931104,736.8835925,0.435893997
661.1499369,0.665301485,742.965968,0.334521073
666.0290296,0.732288445,748.6905567,0.273697318
670.3697624,0.798214524,758.4402468,0.199188218
674.7109418,0.864898375,770.1577643,0.15002235
679.5919103,0.935067973,782.3225152,0.121637931
688.2297042,0.992823903,796.2762001,0.097308429
696.8101355,0.953254477,,
700.5458723,0.90506024,,
704.2549307,0.811601813,,
706.90043,0.738350613,,
709.0102789,0.668635678,,
711.1237008,0.604982911,,
713.2317632,0.532236892,,
715.3398257,0.459490873,,
717.4541409,0.397353649,,
719.5702425,0.338247508,,
