Wavelength,Excitation,Wavelength,Emission
398.5901309,0,471.5005035,0
404.632427,0,476.5357503,0
410.2719033,0,480.9667674,0
416.3141994,0,485.5991944,0.050387597
421.9536757,0.011627907,488.6203424,0.129844961
428.6002014,0.044573643,490.6344411,0.215116279
435.2467271,0.091085271,492.0443102,0.290697674
440.8862034,0.137596899,493.4541793,0.377906977
445.5186304,0.189922481,494.6626385,0.463178295
449.1440081,0.246124031,495.8710977,0.55620155
452.7693857,0.302325581,497.0795569,0.639534884
455.9919436,0.360465116,498.489426,0.744186047
459.0130916,0.416666667,499.8992951,0.837209302
463.041289,0.472868217,501.1077543,0.908914729
468.4793555,0.503875969,502.5176234,0.96124031
474.5216516,0.521317829,504.9345418,1.001937984
476.93857,0.558139535,507.1500504,0.970930233
479.1540785,0.608527132,509.5669688,0.885658915
481.3695871,0.664728682,510.9768379,0.821705426
483.3836858,0.720930233,512.7895267,0.740310078
484.9949648,0.781007752,514.8036254,0.649224806
486.6062437,0.837209302,516.6163142,0.587209302
488.0161128,0.889534884,518.0261833,0.529069767
489.224572,0.941860465,520.040282,0.468992248
492.24572,1,523.06143,0.391472868
495.2668681,0.955426357,526.2839879,0.333333333
496.4753273,0.895348837,530.5135952,0.281007752
497.6837865,0.84496124,536.1530715,0.236434109
498.489426,0.784883721,541.3897281,0.19379845
499.4964753,0.720930233,547.0292044,0.141472868
500.1007049,0.674418605,552.265861,0.089147287
500.9063444,0.620155039,558.1067472,0.050387597
501.7119839,0.562015504,564.7532729,0.019379845
502.3162135,0.501937984,570.9969789,0.003875969
503.3232628,0.447674419,577.4420947,0
503.9274924,0.391472868,584.2900302,-0.001937984
504.7331319,0.335271318,591.7421954,-0.001937984
505.7401813,0.277131783,,
506.7472306,0.222868217,,
507.9556898,0.164728682,,
509.5669688,0.108527132,,
511.7824773,0.05620155,,
514.4008056,0.009689922,,
516.4149043,-0.001937984,,
520.040282,-0.001937984,,
