Wavelength,Excitation,Wavelength,Emission
400.8743169,0.051895551,556.5027322,0.009026793
405.2459016,0.044937319,562.6229508,0.00897385
413.1147541,0.031028419,569.6174863,0.012373551
420.9836066,0.024039934,575.7377049,0.036542061
428.4153005,0.027435854,581.420765,0.057254146
435.8469945,0.027371566,587.9781421,0.091799497
447.2131148,0.034193658,593.2240437,0.122895986
456.8306011,0.030650254,599.3442623,0.160905326
466.4480874,0.034027266,603.715847,0.198929794
474.7540984,0.037415622,606.7759563,0.236965606
481.7486339,0.047735738,609.8360656,0.285382041
487.8688525,0.054603211,612.8961749,0.340718891
494.863388,0.068383535,616.3934426,0.416813206
501.420765,0.089088056,619.0163934,0.472153837
509.2896175,0.123622062,622.5136612,0.534407321
515.4098361,0.147790572,624.2622951,0.582835101
521.5300546,0.178879498,626.8852459,0.634715526
527.2131148,0.209972205,629.9453552,0.696972791
531.5846995,0.241076257,632.568306,0.745393008
535.9562842,0.279100724,635.6284153,0.79726965
539.8907104,0.320589181,638.6885246,0.849146293
543.3879781,0.362081419,642.6229508,0.901015372
547.3224044,0.407030083,646.557377,0.942503829
551.6939891,0.458895381,650.4918033,0.97707187
556.0655738,0.500380056,654.863388,1.001255507
562.6229508,0.538385615,658.7978142,1.008141887
567.8688525,0.569482103,663.1693989,0.99426324
572.6775956,0.604042581,668.852459,0.959612003
577.0491803,0.652447671,674.0983607,0.914583924
580.5464481,0.697400117,678.0327869,0.86956719
583.6065574,0.745816552,681.5300546,0.828014446
586.6666667,0.794232987,685.0273224,0.789921909
590.1639344,0.849566056,689.3989071,0.737980978
593.6612022,0.908359332,693.7704918,0.68257984
596.7213115,0.960235975,699.4535519,0.613326526
600.2185792,0.987887383,703.3879781,0.568309793
602.8415301,0.998245315,707.3224044,0.523293059
605.9016393,0.980917806,711.6939891,0.481732751
609.8360656,0.925520449,715.6284153,0.443636432
612.0218579,0.866678012,721.7486339,0.39860079
613.7704918,0.818219978,726.9945355,0.357032919
615.5191257,0.769761945,731.8032787,0.322389245
617.2677596,0.707463082,737.4863388,0.287738007
619.0163934,0.64170401,744.4808743,0.249615217
620.7650273,0.582865354,752.3497268,0.211484864
622.9508197,0.510182086,758.9071038,0.187206686
625.136612,0.447879441,769.3989071,0.145593435
627.3224044,0.382116588,777.2677596,0.121303912
629.0710383,0.337118763,785.136612,0.103934804
631.6939891,0.271352128,793.442623,0.086561915
634.3169399,0.215966116,800,0.07266436
637.8142077,0.160572541,,
641.3114754,0.119019797,,
646.1202186,0.077455707,,
651.8032787,0.04280447,,
657.0491803,0.021997844,,
663.1693989,0.011564279,,
671.9125683,0.00456823,,
