Wavelength,Excitation,Wavelength,Emission
375.6880734,0.188259109,431.6513761,0.002024291
378.8990826,0.208502024,438.5321101,0.002024291
381.1926606,0.222672065,444.0366972,0.012145749
383.4862385,0.25708502,449.5412844,0.046558704
384.8623853,0.271255061,450.9174312,0.064777328
388.5321101,0.307692308,453.2110092,0.109311741
390.3669725,0.327935223,454.587156,0.143724696
392.6605505,0.36437247,455.5045872,0.174089069
394.4954128,0.388663968,456.8807339,0.21659919
396.7889908,0.427125506,457.3394495,0.248987854
400.4587156,0.487854251,458.7155963,0.301619433
403.6697248,0.55465587,460.0917431,0.384615385
406.4220183,0.603238866,461.0091743,0.433198381
410.0917431,0.668016194,461.9266055,0.481781377
413.7614679,0.734817814,462.8440367,0.536437247
416.5137615,0.779352227,463.3027523,0.570850202
419.7247706,0.836032389,464.6788991,0.653846154
422.9357798,0.896761134,465.5963303,0.710526316
423.853211,0.912955466,466.0550459,0.744939271
426.146789,0.953441296,466.9724771,0.787449393
427.5229358,0.969635628,467.8899083,0.844129555
432.5688073,1,469.266055,0.910931174
435.7798165,0.983805668,469.7247706,0.929149798
439.4495413,0.949392713,470.6422018,0.937246964
441.7431193,0.929149798,471.559633,0.95951417
448.1651376,0.908906883,472.0183486,0.969635628
451.3761468,0.902834008,472.4770642,0.979757085
454.587156,0.872469636,474.7706422,0.995951417
455.9633028,0.850202429,476.6055046,0.977732794
457.3394495,0.813765182,477.9816514,0.967611336
458.2568807,0.793522267,478.440367,0.947368421
459.1743119,0.751012146,479.8165138,0.935222672
460.0917431,0.726720648,480.733945,0.917004049
460.5504587,0.692307692,481.6513761,0.902834008
461.4678899,0.663967611,483.0275229,0.87854251
462.3853211,0.627530364,483.9449541,0.872469636
463.7614679,0.560728745,484.8623853,0.850202429
466.0550459,0.439271255,485.7798165,0.827935223
466.5137615,0.414979757,487.6146789,0.82388664
467.4311927,0.37854251,489.9082569,0.79757085
469.266055,0.295546559,494.4954128,0.785425101
472.9357798,0.170040486,500.9174312,0.787449393
474.7706422,0.131578947,502.7522936,0.771255061
477.5229358,0.072874494,505.5045872,0.759109312
479.3577982,0.056680162,509.1743119,0.696356275
483.9449541,0.028340081,515.1376147,0.576923077
487.1559633,0.016194332,517.8899083,0.524291498
495.412844,0.008097166,520.6422018,0.477732794
505.5045872,0.004048583,526.146789,0.394736842
,,527.9816514,0.380566802
,,528.8990826,0.36437247
,,530.733945,0.352226721
,,531.6513761,0.331983806
,,535.3211009,0.311740891
,,536.6972477,0.295546559
,,541.2844037,0.267206478
,,546.3302752,0.228744939
,,548.6238532,0.212550607
,,550.9174312,0.190283401
,,555.5045872,0.157894737
,,559.6330275,0.13562753
,,564.2201835,0.111336032
,,571.1009174,0.085020243
,,576.6055046,0.068825911
,,581.6513761,0.058704453
,,587.6146789,0.046558704
,,599.0825688,0.030364372
