wavelength,excitation,wavelength,emission
300,0.132,550,0.001
301,0.118,551,0.001
302,0.106,552,0.002
303,0.104,553,0.002
304,0.13,554,0.002
305,0.163,555,0.003
306,0.161,556,0.003
307,0.11,557,0.004
308,0.067,558,0.004
309,0.057,559,0.005
310,0.055,560,0.006
311,0.054,561,0.009
312,0.054,562,0.016
313,0.055,563,0.025
314,0.054,564,0.029
315,0.056,565,0.026
316,0.058,566,0.02
317,0.06,567,0.019
318,0.063,568,0.022
319,0.066,569,0.026
320,0.071,570,0.03
321,0.075,571,0.034
322,0.081,572,0.042
323,0.086,573,0.048
324,0.092,574,0.055
325,0.098,575,0.065
326,0.104,576,0.075
327,0.108,577,0.089
328,0.115,578,0.102
329,0.119,579,0.119
330,0.124,580,0.138
331,0.129,581,0.16
332,0.134,582,0.183
333,0.138,583,0.211
334,0.144,584,0.237
335,0.151,585,0.265
336,0.159,586,0.297
337,0.169,587,0.335
338,0.178,588,0.369
339,0.191,589,0.406
340,0.2,590,0.447
341,0.213,591,0.488
342,0.22,592,0.531
343,0.227,593,0.571
344,0.228,594,0.613
345,0.225,595,0.655
346,0.217,596,0.692
347,0.207,597,0.733
348,0.194,598,0.767
349,0.181,599,0.808
350,0.17,600,0.839
351,0.158,601,0.869
352,0.15,602,0.896
353,0.141,603,0.92
354,0.136,604,0.937
355,0.132,605,0.961
356,0.129,606,0.974
357,0.126,607,0.98
358,0.125,608,0.989
359,0.124,609,0.996
360,0.123,610,1
361,0.123,611,0.99
362,0.122,612,0.991
363,0.122,613,0.976
364,0.121,614,0.968
365,0.12,615,0.955
366,0.12,616,0.942
367,0.119,617,0.931
368,0.118,618,0.903
369,0.116,619,0.892
370,0.115,620,0.871
371,0.114,621,0.852
372,0.112,622,0.83
373,0.111,623,0.812
374,0.109,624,0.795
375,0.105,625,0.772
376,0.103,626,0.754
377,0.1,627,0.739
378,0.098,628,0.719
379,0.094,629,0.706
380,0.09,630,0.69
381,0.087,631,0.674
382,0.082,632,0.662
383,0.079,633,0.65
384,0.076,634,0.633
385,0.071,635,0.616
386,0.067,636,0.605
387,0.064,637,0.596
388,0.06,638,0.582
389,0.057,639,0.576
390,0.055,640,0.562
391,0.052,641,0.554
392,0.05,642,0.543
393,0.046,643,0.538
394,0.045,644,0.535
395,0.042,645,0.521
396,0.04,646,0.514
397,0.039,647,0.503
398,0.036,648,0.499
399,0.033,649,0.489
400,0.031,650,0.483
401,0.029,651,0.477
402,0.027,652,0.471
403,0.025,653,0.462
404,0.022,654,0.455
405,0.02,655,0.452
406,0.017,656,0.44
407,0.016,657,0.433
408,0.013,658,0.423
409,0.012,659,0.416
410,0.01,660,0.413
411,0.009,661,0.406
412,0.007,662,0.4
413,0.007,663,0.392
414,0.006,664,0.386
415,0.005,665,0.378
416,0.004,666,0.371
417,0.004,667,0.365
418,0.004,668,0.359
419,0.003,669,0.354
420,0.003,670,0.35
421,0.003,671,0.34
422,0.003,672,0.336
423,0.003,673,0.329
424,0.003,674,0.32
425,0.003,675,0.314
426,0.003,676,0.309
427,0.003,677,0.305
428,0.003,678,0.297
429,0.003,679,0.286
430,0.004,680,0.279
431,0.004,681,0.276
432,0.004,682,0.268
433,0.004,683,0.26
434,0.005,684,0.252
435,0.005,685,0.247
436,0.005,686,0.24
437,0.005,687,0.232
438,0.006,688,0.231
439,0.006,689,0.225
440,0.006,690,0.217
441,0.007,691,0.206
442,0.007,692,0.207
443,0.008,693,0.198
444,0.008,694,0.195
445,0.009,695,0.19
446,0.009,696,0.185
447,0.01,697,0.18
448,0.01,698,0.176
449,0.011,699,0.169
450,0.012,700,0.167
451,0.012,701,0.163
452,0.013,702,0.158
453,0.014,703,0.154
454,0.015,704,0.149
455,0.016,705,0.145
456,0.016,706,0.142
457,0.017,707,0.142
458,0.018,708,0.136
459,0.02,709,0.135
460,0.021,710,0.128
461,0.022,711,0.126
462,0.023,712,0.124
463,0.025,713,0.122
464,0.025,714,0.12
465,0.027,715,0.116
466,0.029,716,0.111
467,0.03,717,0.11
468,0.031,718,0.106
469,0.033,719,0.104
470,0.034,720,0.102
471,0.036,721,0.1
472,0.038,722,0.097
473,0.039,723,0.096
474,0.041,724,0.094
475,0.042,725,0.092
476,0.044,726,0.089
477,0.046,727,0.087
478,0.049,728,0.086
479,0.05,729,0.083
480,0.053,730,0.081
481,0.056,731,0.079
482,0.058,732,0.077
483,0.061,733,0.078
484,0.063,734,0.073
485,0.066,735,0.075
486,0.069,736,0.071
487,0.073,737,0.073
488,0.076,738,0.068
489,0.081,739,0.067
490,0.084,740,0.066
491,0.089,741,0.066
492,0.093,742,0.061
493,0.097,743,0.063
494,0.101,744,0.06
495,0.106,745,0.061
496,0.112,746,0.057
497,0.117,747,0.056
498,0.122,748,0.056
499,0.127,749,0.056
500,0.133,750,0.054
501,0.137,751,0.051
502,0.142,752,0.052
503,0.148,753,0.05
504,0.152,754,0.05
505,0.159,755,0.048
506,0.164,756,0.045
507,0.169,757,0.046
508,0.175,758,0.044
509,0.18,759,0.043
510,0.187,760,0.04
511,0.191,761,0.041
512,0.198,762,0.04
513,0.204,763,0.04
514,0.209,764,0.039
515,0.217,765,0.036
516,0.225,766,0.038
517,0.232,767,0.037
518,0.239,768,0.034
519,0.248,769,0.033
520,0.257,770,0.034
521,0.266,771,0.033
522,0.275,772,0.032
523,0.284,773,0.031
524,0.296,774,0.03
525,0.306,775,0.029
526,0.32,776,0.03
527,0.331,777,0.03
528,0.346,778,0.027
529,0.356,779,0.026
530,0.373,780,0.027
531,0.383,781,0.025
532,0.4,782,0.025
533,0.414,783,0.026
534,0.429,784,0.024
535,0.442,785,0.024
536,0.457,786,0.023
537,0.472,787,0.022
538,0.485,788,0.022
539,0.496,789,0.022
540,0.507,790,0.02
541,0.519,791,0.021
542,0.526,792,0.02
543,0.535,793,0.02
544,0.546,794,0.018
545,0.553,795,0.017
546,0.555,796,0.02
547,0.566,797,0.018
548,0.569,798,0.017
549,0.575,799,0.016
550,0.578,800,0.017
551,0.583,,
552,0.587,,
553,0.588,,
554,0.594,,
555,0.599,,
556,0.604,,
557,0.609,,
558,0.615,,
559,0.623,,
560,0.629,,
561,0.639,,
562,0.647,,
563,0.655,,
564,0.669,,
565,0.681,,
566,0.692,,
567,0.703,,
568,0.72,,
569,0.733,,
570,0.751,,
571,0.77,,
572,0.792,,
573,0.807,,
574,0.822,,
575,0.845,,
576,0.859,,
577,0.883,,
578,0.904,,
579,0.921,,
580,0.941,,
581,0.955,,
582,0.967,,
583,0.984,,
584,0.993,,
585,0.995,,
586,0.996,,
587,1,,
588,0.992,,
589,0.984,,
590,0.971,,
591,0.946,,
592,0.925,,
593,0.901,,
594,0.867,,
595,0.836,,
596,0.799,,
597,0.763,,
598,0.724,,
599,0.682,,
600,0.639,,
601,0.601,,
602,0.557,,
603,0.512,,
604,0.47,,
605,0.43,,
606,0.393,,
607,0.356,,
608,0.319,,
609,0.288,,
610,0.259,,
611,0.234,,
612,0.209,,
613,0.183,,
614,0.162,,
615,0.14,,
616,0.122,,
617,0.107,,
618,0.092,,
619,0.08,,
620,0.07,,
621,0.061,,
622,0.052,,
623,0.045,,
624,0.041,,
625,0.035,,
626,0.031,,
627,0.026,,
628,0.023,,
629,0.02,,
630,0.017,,
631,0.015,,
632,0.014,,
633,0.012,,
634,0.01,,
635,0.009,,
636,0.008,,
637,0.007,,
638,0.006,,
639,0.005,,
640,0.004,,
641,0.004,,
