Wavelength,Excitation,Wavelength,Emission
300,22.38770871,475,2.058704042
301,21.43920985,476,2.942311599
302,20.52206632,477,3.825919155
303,19.59708395,478,4.771480804
304,18.78184526,479,5.469226082
305,18.08418907,480,6.538695917
306,17.46492122,481,7.882388787
307,16.9945912,482,9.35709933
308,16.59481069,483,10.92626447
309,16.23422435,484,12.76051188
310,15.88931567,485,14.61608775
311,15.59927883,486,16.17001828
312,15.40330799,487,18.19622182
313,15.09759348,488,21.00548446
314,14.8702673,489,24.33272395
315,14.71349063,490,27.64472882
316,14.50968096,491,31.13954906
317,14.21180528,492,35.00914077
318,13.83554127,493,39.39670932
319,13.59253743,494,43.66240098
320,13.23978992,495,47.01401584
321,12.97326958,496,51.18829982
322,12.6048444,497,57.98293723
323,12.33832406,498,63.55880561
324,12.03260955,499,68.98232785
325,11.70337854,500,74.55819622
326,11.4838912,501,79.95124924
327,11.20953202,502,84.61304083
328,10.92733401,503,88.75685558
329,10.4805205,504,92.41316271
330,10.37861566,505,95.39914686
331,10.16696716,506,97.7757465
332,10.11993415,507,99.32967703
333,9.89260798,508,100
334,9.657442972,509,99.8781231
335,9.579054637,510,98.90310786
336,9.492827467,511,97.50152346
337,9.500666301,512,95.30773918
338,9.398761464,513,92.2912858
339,9.187112958,514,89.06154784
340,9.194951791,515,85.25289458
341,9.093046955,516,81.41377209
342,9.116563455,517,77.36136502
343,9.053852787,518,73.49177331
344,8.959786784,519,69.92687386
345,9.093046955,520,66.36197441
346,9.022497452,521,63.01035954
347,9.06169162,522,59.75015235
348,9.116563455,523,56.97745277
349,9.17143529,524,54.38756856
350,9.17143529,525,52.07190737
351,9.304695461,526,49.8781231
352,9.343889629,527,48.11090798
353,9.594732304,528,46.43510055
354,9.680959473,529,44.85070079
355,9.69663714,530,43.54052407
356,9.89260798,531,42.13893967
357,10.02586815,532,41.07251676
358,10.22967782,533,39.85374771
359,10.32374383,534,38.81779403
360,10.53539233,535,37.93418647
361,10.61378067,536,37.11151737
362,10.80975151,537,36.25837904
363,10.91165635,538,35.49664839
364,11.16249902,539,34.64351005
365,11.34279219,540,33.85131018
366,11.5779572,541,33.0591103
367,11.75825037,542,32.44972578
368,12.04828721,543,31.74893358
369,12.21290272,544,30.80438757
370,12.47158423,545,30.06398537
371,12.63619973,546,29.06764168
372,12.91055891,547,28.2754418
373,13.12220742,548,27.33698964
374,13.34953359,549,26.37720902
375,13.60037626,550,25.47531993
376,13.78850827,551,24.44241316
377,14.03935094,552,23.45521024
378,14.26667712,553,22.4527727
379,14.46264796,554,21.44119439
380,14.76052363,555,20.56977453
381,14.95649447,556,19.53991469
382,15.19165948,557,18.68677636
383,15.25437015,558,17.76965265
384,15.53656816,559,16.92260817
385,15.7090225,560,16.09689214
386,15.91283217,561,15.34430225
387,16.23422435,562,14.66179159
388,16.48506702,563,13.9213894
389,16.57129419,564,13.34552102
390,16.76726503,565,12.62949421
391,17.03378537,566,12.15112736
392,17.19840088,567,11.59658745
393,17.43356589,568,10.99939062
394,17.62953672,569,10.64594759
395,17.8333464,570,10.1218769
396,17.9979619,571,9.63741621
397,18.16257741,572,9.140767824
398,18.35070941,573,8.73857404
399,18.49180842,574,8.427787934
400,18.62506859,575,8.117001828
401,18.75048993,576,7.772699573
402,18.89942777,577,7.495429616
403,18.9542996,578,7.309567337
404,19.07972094,579,7.007921999
405,19.17378694,580,6.849482023
406,19.32272478,581,6.547836685
407,19.40895195,582,6.297989031
408,19.57356745,583,6.029859842
409,19.70682762,584,5.868372943
410,19.85576546,585,5.679463742
411,20.0517363,586,5.511882998
412,20.25554597,587,5.295551493
413,20.46719448,588,5.079219988
414,20.68668182,589,4.87202925
415,20.92184683,590,4.762340037
416,21.18052834,591,4.573430835
417,21.47056518,592,4.42717855
418,21.70573019,593,4.244363193
419,22.0114447,594,4.070688605
420,22.34067571,595,3.939670932
421,22.70126205,596,3.823887873
422,23.0618484,597,3.610603291
423,23.33620757,598,3.531383303
424,23.62624441,599,3.345521024
425,23.97115309,600,3.208409506
426,24.33173944,601,3.110907983
427,24.77855295,602,2.964046313
428,25.22536647,603,2.84369287
429,25.75056832,604,2.744667885
430,26.2130595,605,2.634978672
431,26.74610018,606,2.487202925
432,27.4280787,607,2.403412553
433,28.09437956,608,2.316879951
434,28.81555225,609,2.205362584
435,29.64646861,610,2.097501523
436,30.5557733,611,2.045399147
437,31.39452849,612,1.90432663
438,32.45277103,613,1.855880561
439,33.44830289,614,1.702010969
440,34.57709493,615,1.631627057
441,35.76859763,616,1.597196831
442,36.96010034,617,1.503656307
443,38.30837971,618,1.444546009
444,39.64098142,619,1.384216941
445,41.02845497,620,1.302864107
446,42.50215568,621,1.268738574
447,44.01505056,622,1.215112736
448,45.54362311,623,1.150213285
449,47.15842283,624,1.110298598
450,48.80457788,625,1.092017063
451,50.52912127,626,1.041133455
452,52.18311515,627,1.021328458
453,53.85984166,628,0.988726386
454,55.60868543,629,0.947288239
455,57.32538998,630,0.904631322
456,59.00290037,631,0.886349787
457,60.68041075,632,0.861060329
458,62.39711531,633,0.827239488
459,64.00407619,634,0.804082876
460,65.57968174,635,0.759293114
461,67.05338246,636,0.749238269
462,68.56627734,637,0.723948812
463,69.97726738,638,0.704143815
464,71.30986909,639,0.680987203
465,72.69734264,640,0.659354052
466,73.98291134,641,0.647775746
467,75.17441405,642,0.604814138
468,76.38864937,643,0.584704449
469,77.58093596,644,0.578001219
470,78.76459983,645,0.560329068
471,80.0188132,646,0.536867764
472,81.2103159,647,0.514320536
473,82.45669044,648,0.51218769
474,83.78145332,649,0.482023157
475,85.05134436,650,0.468312005
476,86.4153014,,
477,87.81061378,,
478,89.14321549,,
479,90.53068903,,
480,91.88680724,,
481,93.16453712,,
482,94.48929999,,
483,95.7513522,,
484,96.93501607,,
485,97.9697421,,
486,98.8555303,,
487,99.48263698,,
488,99.87457866,,
489,100,,
490,99.79619033,,
491,99.23963314,,
492,98.29897311,,
493,96.91149957,,
494,95.03801834,,
495,92.78043427,,
496,89.99764835,,
497,86.83075958,,
498,83.30328447,,
499,79.38386768,,
500,75.11170338,,
501,70.75331191,,
502,66.12840009,,
503,61.49564945,,
504,56.78451046,,
505,52.08121032,,
506,47.42494317,,
507,42.89409736,,
508,38.52786705,,
509,34.38896292,,
510,30.4146743,,
511,26.77745551,,
512,23.36756291,,
513,20.25554597,,
514,17.42572705,,
515,14.92513914,,
516,12.69107157,,
517,10.76271851,,
518,9.17143529,,
519,7.760445246,,
520,6.670847378,,
521,5.785059183,,
522,5.05604766,,
523,4.491651642,,
524,4.068354629,,
525,3.69992945,,
526,3.441247942,,
527,3.182566434,,
528,2.994434428,,
529,2.84549659,,
530,2.751430587,,
531,2.641686917,,
532,2.586815082,,
533,2.508426746,,
534,2.453554911,,
535,2.383005409,,
536,2.351650074,,
537,2.335972407,,
538,2.281100572,,
539,2.226228737,,
540,2.21055107,,
541,2.187034569,,
542,2.187034569,,
543,2.116485067,,
544,2.147840401,,
545,2.116485067,,
546,2.108646233,,
547,2.085129733,,
548,2.085129733,,
549,2.1008074,,
550,2.1008074,,
