Wavelength,Excitation,Wavelength,Emission
310,0.06529549,520,0.062388818
311,0.068359253,521,0.059085133
312,0.068506998,522,0.057136806
313,0.069463453,523,0.054891995
314,0.071391913,524,0.053706057
315,0.073506998,525,0.052901313
316,0.075342146,526,0.052393054
317,0.07625972,527,0.05192715
318,0.077993779,528,0.052562474
319,0.079393468,529,0.053451927
320,0.081415241,530,0.055781449
321,0.083203733,531,0.05802626
322,0.08600311,532,0.062346463
323,0.088258165,533,0.066285472
324,0.091912908,534,0.072511648
325,0.094556765,535,0.080177891
326,0.096034215,536,0.089919526
327,0.097356143,537,0.102456586
328,0.099066874,538,0.117153748
329,0.099844479,539,0.1356205
330,0.100155521,540,0.156840322
331,0.098600311,541,0.183015671
332,0.096034215,542,0.213722999
333,0.094167963,543,0.250698856
334,0.090902022,544,0.288013554
335,0.087947123,545,0.336086404
336,0.085692068,546,0.38720881
337,0.080715397,547,0.440491317
338,0.077083981,548,0.502329521
339,0.074945568,549,0.565861923
340,0.071057543,550,0.626429479
341,0.067651633,551,0.691232529
342,0.062993779,552,0.75476493
343,0.059727838,553,0.811944091
344,0.056104199,554,0.865734858
345,0.052931571,555,0.910207539
346,0.050723173,556,0.944515036
347,0.048211509,557,0.973739941
348,0.045155521,558,0.988987717
349,0.043615863,559,0.999152901
350,0.040684292,560,0.997882253
351,0.037830482,561,0.988564168
352,0.035878694,562,0.972045743
353,0.033810264,563,0.945785684
354,0.031936236,564,0.914866582
355,0.029976672,565,0.882253283
356,0.028063764,566,0.842863194
357,0.025956454,567,0.803473105
358,0.024354588,568,0.763659466
359,0.023040435,569,0.721304532
360,0.021306376,570,0.682337992
361,0.019805599,571,0.642100805
362,0.018335925,572,0.605252012
363,0.016881804,573,0.569673867
364,0.015816485,574,0.536213469
365,0.01437014,575,0.506141465
366,0.013880249,576,0.475645913
367,0.012830482,577,0.448115205
368,0.012115086,578,0.424819992
369,0.011461897,579,0.4
370,0.010692068,580,0.379796696
371,0.00962675,581,0.358788649
372,0.009020218,582,0.341592546
373,0.008662519,583,0.324227022
374,0.00762675,584,0.309233376
375,0.007167185,585,0.295679797
376,0.006581649,586,0.284498094
377,0.00605521,587,0.271113935
378,0.005583204,588,0.261965269
379,0.004883359,589,0.25175773
380,0.004502333,590,0.245192715
381,0.004200622,591,0.236721728
382,0.003678849,592,0.230495553
383,0.003281493,593,0.224862346
384,0.003342924,594,0.21914443
385,0.003355365,595,0.212579416
386,0.002948678,596,0.208598052
387,0.002902022,597,0.203727234
388,0.002681182,598,0.199618806
389,0.002640747,599,0.19339263
390,0.002978227,600,0.189665396
391,0.002605754,601,0.184371029
392,0.002664075,602,0.178271919
393,0.002802488,603,0.173528166
394,0.002713064,604,0.167429055
395,0.002860031,605,0.163786531
396,0.002664075,606,0.157518001
397,0.002524106,607,0.15167302
398,0.002788491,608,0.146463363
399,0.002719285,609,0.139728928
400,0.003137636,610,0.134815756
