Wavelength,Excitaiton,Wavelength,Emission
310,0.0687778,540,0.0741917
311,0.0694074,541,0.0822866
312,0.071,542,0.0968481
313,0.0721481,543,0.115399
314,0.0743704,544,0.137009
315,0.0772593,545,0.163875
316,0.0786852,546,0.193882
317,0.0813333,547,0.228658
318,0.0841852,548,0.267737
319,0.0867963,549,0.313794
320,0.0894074,550,0.361014
321,0.0926667,551,0.413236
322,0.0956296,552,0.467434
323,0.0984444,553,0.528379
324,0.102426,554,0.589207
325,0.105574,555,0.649686
326,0.108704,556,0.707606
327,0.111593,557,0.764713
328,0.11487,558,0.816818
329,0.117556,559,0.866481
330,0.120037,560,0.909165
331,0.122574,561,0.942894
332,0.124167,562,0.96883
333,0.124815,563,0.986276
334,0.125389,564,0.997209
335,0.124444,565,1
336,0.122463,566,0.994999
337,0.119593,567,0.983019
338,0.117278,568,0.966853
339,0.113111,569,0.94394
340,0.109278,570,0.91626
341,0.104296,571,0.88509
342,0.099037,572,0.853454
343,0.0946111,573,0.818679
344,0.0895185,574,0.783438
345,0.0847963,575,0.747499
346,0.080963,576,0.71191
347,0.0766481,577,0.677134
348,0.0722963,578,0.642824
349,0.0684074,579,0.609444
350,0.0647037,580,0.57746
351,0.0613889,581,0.546988
352,0.0585926,582,0.518842
353,0.0555185,583,0.492207
354,0.0522222,584,0.466969
355,0.0495741,585,0.442428
356,0.0468333,586,0.420447
357,0.0443889,587,0.399744
358,0.0423333,588,0.381251
359,0.0394074,589,0.363108
360,0.0371852,590,0.346825
361,0.0347963,591,0.332868
362,0.0327407,592,0.319028
363,0.0306111,593,0.306699
364,0.0284259,594,0.296115
365,0.026537,595,0.285066
366,0.0250926,596,0.275645
367,0.0234074,597,0.267388
368,0.0219074,598,0.259479
369,0.0207593,599,0.252152
370,0.0195185,600,0.244824
371,0.0183074,601,0.237497
372,0.0172796,602,0.231449
373,0.016,603,0.224355
374,0.015137,604,0.218307
375,0.0140926,605,0.212026
376,0.0128204,606,0.206211
377,0.0118352,607,0.19993
378,0.0110148,608,0.193766
379,0.0100019,609,0.187718
380,0.0090963,610,0.181438
381,0.00817407,611,0.17539
382,0.00730185,612,0.169225
383,0.00662778,613,0.162596
384,0.00588889,614,0.156432
385,0.00526111,615,0.150616
386,0.00476111,616,0.144685
387,0.00427593,617,0.138521
388,0.00384259,618,0.132473
389,0.00343519,619,0.126308
390,0.00324444,620,0.120377
391,0.0029963,621,0.114922
392,0.00282593,622,0.109677
393,0.00266111,623,0.104641
394,0.00253519,624,0.0996046
395,0.00252593,625,0.0944638
396,0.00244074,626,0.0898
397,0.00247222,627,0.0853687
398,0.00243333,628,0.0805769
399,0.00244074,629,0.0758665
400,0.00251296,630,0.0716097
401,0.00258333,631,0.0676087
402,0.00265556,632,0.0638404
403,0.00265926,633,0.0605606
404,0.00277222,634,0.0571063
405,0.00290926,635,0.0538614
406,0.00294444,636,0.0506397
407,0.00313333,637,0.0478832
408,0.00323889,638,0.0453478
409,0.00328519,639,0.0430565
410,0.00345926,640,0.0405211
411,0.00363519,641,0.0381717
412,0.00377778,642,0.0360316
413,0.00395926,643,0.0340079
414,0.00411296,644,0.0322168
415,0.00426296,645,0.0304489
416,0.0045037,646,0.028716
417,0.00456482,647,0.0273319
418,0.00483889,648,0.0258316
419,0.0050537,649,0.0246104
420,0.00540556,650,0.0233426
421,0.00545556,651,0.0222145
422,0.00578333,652,0.021063
423,0.00605741,653,0.0199698
424,0.00634444,654,0.0189463
425,0.00675,655,0.0179111
426,0.00703333,656,0.0172482
427,0.00747222,657,0.0164922
428,0.00779074,658,0.0156897
429,0.00826111,659,0.0148407
430,0.00875741,660,0.0141428
431,0.00926482,661,0.0134915
432,0.00967407,662,0.0128286
433,0.0103167,663,0.0121889
434,0.0109407,664,0.0115771
435,0.0116278,665,0.0111247
436,0.0123037,666,0.0105431
437,0.0129667,667,0.0100663
438,0.0136815,668,0.00960921
439,0.0146593,669,0.00909281
440,0.01555,670,0.00864969
441,0.0165296,671,0.0082589
442,0.017637,672,0.00790765
443,0.0188148,673,0.00752384
444,0.019963,674,0.00714352
445,0.0212593,675,0.00679111
446,0.0226481,676,0.00651547
447,0.0239074,677,0.00617586
448,0.0252593,678,0.0058502
449,0.0267222,679,0.0054943
450,0.0284074,680,0.00533961
451,0.0298704,681,0.00501047
452,0.0314074,682,0.00474762
453,0.0331296,683,0.00454989
454,0.0350741,684,0.00429984
455,0.0369074,685,0.00413701
456,0.0389259,686,0.00394627
457,0.0408333,687,0.00369621
458,0.0429444,688,0.00349733
459,0.0450926,689,0.00334962
460,0.0473704,690,0.00319609
461,0.0495556,691,0.00304489
462,0.0524815,692,0.00279949
463,0.0551296,693,0.00269365
464,0.0578704,694,0.00262038
465,0.0612593,695,0.00245871
466,0.0644444,696,0.00237497
467,0.0676111,697,0.00219702
468,0.0708148,698,0.00211212
469,0.0742593,699,0.00201093
470,0.0781667,700,0.00192487
471,0.0822037,701,0.00179111
472,0.0868519,702,0.00178065
473,0.0913333,703,0.0016655
474,0.095963,704,0.00166434
475,0.10037,705,0.00156664
476,0.105056,706,0.00147476
477,0.110593,707,0.00141312
478,0.115593,708,0.00133403
479,0.121,709,0.00130379
480,0.125833,710,0.00123633
481,0.130037,711,0.00120958
482,0.134278,712,0.00116422
483,0.139093,713,0.00110095
484,0.143981,714,0.00107606
485,0.149259,715,0.00103396
486,0.154926,716,0.000970807
487,0.161093,717,0.000939405
488,0.167352,718,0.000879158
489,0.174444,719,0.000873692
490,0.181259,720,0.00085043
491,0.189074,721,0.000822284
492,0.197222,722,0.000797162
493,0.20537,723,0.000730054
494,0.214815,724,0.000713887
495,0.22537,725,0.000721912
496,0.236852,726,0.000695162
497,0.248889,727,0.000641545
498,0.263519,728,0.000595138
499,0.278704,729,0.000566876
500,0.294259,730,0.000552221
501,0.311667,731,0.000560247
502,0.329259,732,0.000563503
503,0.347593,733,0.000504769
504,0.366667,734,0.000493487
505,0.386667,735,0.000454873
506,0.407037,736,0.000464992
507,0.426111,737,0.000450686
508,0.445185,738,0.000433706
509,0.462222,739,0.000404513
510,0.478889,740,0.000394976
511,0.494259,741,0.00039044
512,0.507037,742,0.000357176
513,0.517593,743,0.000372645
514,0.527222,744,0.000344382
515,0.533148,745,0.000327169
516,0.538519,746,0.000325541
517,0.540926,747,0.000302629
518,0.542037,748,0.000319958
519,0.540926,749,0.000312049
520,0.54037,750,0.000291231
521,0.537778,,
522,0.535741,,
523,0.532778,,
524,0.531111,,
525,0.529815,,
526,0.53,,
527,0.531296,,
528,0.533519,,
529,0.538333,,
530,0.544259,,
531,0.552407,,
532,0.561667,,
533,0.574074,,
534,0.588148,,
535,0.603889,,
536,0.621852,,
537,0.642963,,
538,0.66537,,
539,0.691852,,
540,0.718889,,
541,0.74963,,
542,0.778889,,
543,0.810556,,
544,0.842222,,
545,0.874074,,
546,0.903704,,
547,0.931481,,
548,0.955,,
549,0.975185,,
550,0.988889,,
551,0.998519,,
552,0.999815,,
553,0.993889,,
554,0.97963,,
555,0.958333,,
556,0.929815,,
557,0.894074,,
558,0.854444,,
559,0.806852,,
560,0.756852,,
561,0.704815,,
562,0.652222,,
563,0.596481,,
564,0.542222,,
565,0.489074,,
566,0.440556,,
567,0.393148,,
568,0.349444,,
569,0.309259,,
570,0.273148,,
