Wavelength,Excitation,Wavelength,Emission
300,4.197,560,0.553
301,3.949,561,0.57
302,3.771,562,0.626
303,3.511,563,0.697
304,3.337,564,0.792
305,3.136,565,0.915
306,2.899,566,1.044
307,2.738,567,1.19
308,2.603,568,1.342
309,2.518,569,1.572
310,2.442,570,1.804
311,2.395,571,2.07
312,2.376,572,2.387
313,2.386,573,2.679
314,2.372,574,3.084
315,2.406,575,3.555
316,2.491,576,4.07
317,2.604,577,4.586
318,2.697,578,5.102
319,2.879,579,5.818
320,3.082,580,6.521
321,3.56,581,7.347
322,4.119,582,8.306
323,4.882,583,9.27
324,5.488,584,10.383
325,5.972,585,11.635
326,6.28,586,13
327,6.362,587,14.368
328,6.205,588,15.873
329,6.005,589,17.766
330,5.874,590,19.62
331,5.803,591,21.55
332,5.83,592,23.846
333,5.965,593,25.781
334,6.22,594,28.146
335,6.517,595,30.794
336,6.776,596,33.542
337,7.137,597,36.638
338,7.518,598,39.064
339,7.862,599,42.015
340,8.195,600,45.051
341,8.528,601,48.008
342,8.8,602,51.15
343,9.044,603,54.3
344,9.041,604,57.363
345,9.003,605,60.169
346,8.839,606,62.892
347,8.674,607,65.833
348,8.454,608,68.543
349,8.184,609,71.393
350,7.951,610,74.234
351,7.662,611,76.798
352,7.352,612,79.165
353,7.011,613,81.11
354,6.779,614,83.181
355,6.466,615,85.377
356,6.275,616,87.453
357,6.101,617,89.242
358,5.888,618,90.513
359,5.718,619,91.982
360,5.574,620,93.447
361,5.372,621,94.477
362,5.198,622,95.501
363,5.027,623,96.591
364,4.887,624,97.112
365,4.819,625,97.816
366,4.786,626,98.209
367,4.761,627,98.594
368,4.678,628,98.937
369,4.614,629,99.168
370,4.567,630,99.617
371,4.492,631,99.86
372,4.423,632,99.908
373,4.334,633,100
374,4.245,634,99.887
375,4.127,635,99.716
376,4.008,636,99.893
377,3.798,637,99.686
378,3.719,638,99.255
379,3.574,639,98.755
380,3.479,640,98.209
381,3.361,641,97.785
382,3.298,642,97.45
383,3.201,643,97.059
384,3.147,644,96.361
385,3.063,645,95.7
386,2.973,646,95.233
387,2.891,647,94.809
388,2.845,648,93.825
389,2.81,649,92.906
390,2.735,650,92.026
391,2.677,651,91.272
392,2.622,652,90.347
393,2.512,653,89.309
394,2.433,654,88.146
395,2.352,655,87.282
396,2.287,656,86.457
397,2.205,657,85.509
398,2.123,658,84.737
399,2.055,659,83.601
400,2.007,660,82.475
401,1.942,661,81.503
402,1.853,662,80.397
403,1.8,663,79.415
404,1.748,664,78.278
405,1.676,665,77.223
406,1.647,666,76.486
407,1.582,667,75.199
408,1.553,668,73.857
409,1.52,669,72.521
410,1.489,670,71.565
411,1.471,671,70.07
412,1.46,672,69.109
413,1.452,673,68.074
414,1.434,674,66.775
415,1.446,675,65.548
416,1.438,676,64.189
417,1.433,677,62.782
418,1.436,678,61.61
419,1.433,679,60.345
420,1.444,680,58.908
421,1.441,681,57.565
422,1.43,682,56.551
423,1.441,683,55.357
424,1.45,684,54.133
425,1.453,685,52.971
426,1.462,686,52.001
427,1.474,687,50.925
428,1.5,688,50.024
429,1.534,689,49.182
430,1.568,690,48.39
431,1.621,691,47.605
432,1.645,692,46.737
433,1.684,693,46.246
434,1.702,694,45.505
435,1.744,695,44.742
436,1.769,696,43.991
437,1.823,697,43.362
438,1.877,698,43.004
439,1.899,699,42.296
440,1.941,700,41.686
441,1.959,701,41.13
442,1.994,702,40.62
443,2.034,703,39.821
444,2.08,704,39.224
445,2.159,705,38.687
446,2.186,706,38.273
447,2.214,707,37.644
448,2.255,708,37.114
449,2.299,709,36.434
450,2.351,710,35.871
451,2.401,711,35.293
452,2.481,712,34.683
453,2.557,713,34.173
454,2.623,714,33.716
455,2.698,715,33.064
456,2.814,716,32.576
457,2.922,717,31.955
458,3.02,718,31.407
459,3.096,719,30.888
460,3.133,720,30.327
461,3.188,721,29.763
462,3.209,722,29.15
463,3.307,723,28.643
464,3.408,724,28.084
465,3.562,725,27.394
466,3.658,726,26.798
467,3.757,727,26.206
468,3.866,728,25.655
469,3.948,729,25.078
470,4.072,730,24.554
471,4.189,731,24.082
472,4.314,732,23.64
473,4.451,733,23.243
474,4.575,734,22.682
475,4.735,735,22.059
476,4.891,736,21.575
477,5.042,737,21.016
478,5.212,738,20.551
479,5.365,739,20.154
480,5.657,740,19.752
481,6.003,741,19.329
482,6.245,742,18.952
483,6.418,743,18.551
484,6.498,744,18.091
485,6.606,745,17.737
486,6.681,746,17.372
487,6.854,747,17.038
488,7.114,748,16.605
489,7.392,749,16.266
490,7.66,750,15.852
491,7.808,751,15.592
492,7.992,752,15.176
493,8.247,753,14.8
494,8.572,754,14.533
495,8.923,755,14.104
496,9.276,756,13.871
497,9.781,757,13.543
498,10.177,758,13.193
499,10.403,759,12.807
500,10.715,760,12.56
501,11.116,761,12.278
502,11.55,762,12.004
503,12.013,763,11.649
504,12.302,764,11.407
505,12.778,765,11.083
506,13.204,766,10.805
507,13.589,767,10.548
508,14.06,768,10.305
509,14.419,769,10.051
510,14.916,770,9.863
511,15.289,771,9.579
512,15.591,772,9.397
513,16.015,773,9.102
514,16.522,774,8.943
515,17.137,775,8.739
516,17.775,776,8.517
517,18.499,777,8.289
518,19.114,778,8.042
519,19.457,779,7.816
520,19.974,780,7.648
521,20.486,781,7.542
522,21.186,782,7.32
523,22.419,783,7.173
524,23.746,784,7.006
525,25.128,785,6.852
526,26.181,786,6.739
527,27.185,787,6.578
528,27.734,788,6.42
529,28.12,789,6.238
530,28.66,790,6.073
531,29.529,791,5.921
532,30.565,792,5.755
533,31.645,793,5.646
534,32.848,794,5.514
535,34.058,795,5.35
536,35.058,796,5.21
537,36.183,797,5.072
538,37.673,798,4.982
539,39.653,799,4.857
540,41.054,800,4.719
541,41.994,,
542,42.429,,
543,42.672,,
544,42.866,,
545,43.281,,
546,43.947,,
547,44.713,,
548,45.436,,
549,45.939,,
550,46.475,,
551,47.425,,
552,48.469,,
553,49.105,,
554,49.532,,
555,49.79,,
556,50.305,,
557,51.302,,
558,51.957,,
559,53.142,,
560,54.135,,
561,55.15,,
562,56.277,,
563,57.621,,
564,59.317,,
565,60.836,,
566,62.123,,
567,63.147,,
568,64.849,,
569,66.614,,
570,69.027,,
571,71.4,,
572,73.053,,
573,74.656,,
574,76.353,,
575,77.844,,
576,79.584,,
577,81.011,,
578,82.787,,
579,84.489,,
580,86.805,,
581,89.305,,
582,91.495,,
583,93.463,,
584,95.219,,
585,96.717,,
586,97.936,,
587,98.868,,
588,99.581,,
589,100,,
590,99.673,,
591,98.722,,
592,97.921,,
593,96.797,,
594,95.732,,
595,94.191,,
596,92.026,,
597,89.125,,
598,85.489,,
599,82.03,,
600,78.956,,
601,75.719,,
602,72.328,,
603,69.479,,
604,65.827,,
605,61.904,,
606,58.026,,
607,54.256,,
608,50.814,,
609,47.097,,
610,43.735,,
611,40.648,,
612,37.371,,
613,34.136,,
614,31.558,,
615,28.861,,
616,26.622,,
617,24.037,,
618,21.925,,
619,20.096,,
620,18.117,,
621,16.597,,
622,15.041,,
623,13.727,,
624,12.368,,
625,11.267,,
626,10.114,,
627,9.12,,
628,8.469,,
629,7.616,,
630,6.859,,
631,6.205,,
632,5.636,,
633,5.13,,
634,4.647,,
635,4.243,,
636,3.898,,
637,3.496,,
638,3.191,,
639,2.909,,
640,2.704,,
