Wavelength,Excitation,Wavelength,Emission
344.0677966,0.102564103,520.8474576,0.018315018
354.7457627,0.113553114,499.4915254,0.003663004
367.7966102,0.186813187,544.5762712,0.032967033
377.2881356,0.26007326,554.0677966,0.054945055
382.0338983,0.304029304,560,0.095238095
385.5932203,0.351648352,567.1186441,0.153846154
390.3389831,0.399267399,573.0508475,0.241758242
392.7118644,0.443223443,577.7966102,0.333333333
399.8305085,0.534798535,581.3559322,0.424908425
405.7627119,0.63003663,586.1016949,0.516483516
411.6949153,0.721611722,589.6610169,0.615384615
418.8135593,0.813186813,590.8474576,0.666666667
423.559322,0.875457875,594.4067797,0.710622711
438.9830508,0.996336996,596.779661,0.772893773
460.3389831,0.919413919,600.3389831,0.842490842
455.5932203,0.963369963,606.2711864,0.904761905
463.8983051,0.875457875,614.5762712,0.974358974
468.6440678,0.783882784,624.0677966,1
472.2033898,0.714285714,631.1864407,0.963369963
475.7627119,0.622710623,635.9322034,0.919413919
478.1355932,0.534798535,640.6779661,0.868131868
481.6949153,0.43956044,644.2372881,0.824175824
486.440678,0.347985348,651.3559322,0.732600733
491.1864407,0.26007326,656.1016949,0.688644689
497.1186441,0.172161172,659.6610169,0.641025641
508.9830508,0.091575092,664.4067797,0.597069597
529.1525424,0.091575092,667.9661017,0.549450549
560,0.153846154,672.7118644,0.505494505
542.2033898,0.113553114,677.4576271,0.457875458
573.0508475,0.194139194,683.3898305,0.399267399
586.1016949,0.227106227,688.1355932,0.355311355
601.5254237,0.157509158,694.0677966,0.307692308
616.9491525,0.06959707,705.9322034,0.223443223
633.559322,0.014652015,720.1694915,0.15018315
,,740.3389831,0.087912088
,,765.2542373,0.043956044
