Wavelength,Excitation,Wavelength,Emission
351.1519958,0.017475388,456.3469442,0.005859849
370.4701358,0.041696587,466.2824638,0.031764743
380.1243043,0.062427855,470.236085,0.078333509
389.7735711,0.091779791,473.3270266,0.142139935
398.8483718,0.131474079,475.0004289,0.1990437
406.4938693,0.18495531,476.1042666,0.257669148
412.4316535,0.241877455,477.7698263,0.328365982
417.5155809,0.300520059,479.1569758,0.388716789
422.3161966,0.357437303,479.9765214,0.447341011
426.2629555,0.416075004,480.7921457,0.512861768
429.6411302,0.474710255,482.7429779,0.581835694
432.4507207,0.533343055,484.1232651,0.654255436
434.976019,0.591974629,485.7839233,0.733572939
437.2189858,0.647156711,486.5975869,0.802541964
440.0275959,0.707513645,487.6975034,0.868063946
442.2676218,0.767868128,490.2159395,0.938764457
445.3575831,0.833398688,493.5921535,1.000847975
452.1502043,0.886876242,498.444726,0.966386132
459.2300585,0.935182621,500.469082,0.906050031
465.456056,0.985209457,503.3414128,0.854338273
472.8515726,0.978344783,504.7932633,0.800896255
475.4445128,0.918011132,506.8078161,0.757801491
477.1835963,0.859397938,508.8321721,0.697465389
478.0698035,0.800781068,511.4280533,0.631959336
479.5236146,0.743890783,514.3052856,0.571626911
481.54601,0.687002948,516.8913636,0.523362196
484.7732158,0.51115479,520.0440653,0.478548199
481.8646132,0.626659494,523.4849803,0.426838892
485.9437151,0.452539145,526.3524095,0.383747803
487.3994868,0.392200593,528.9335859,0.344103757
488.285694,0.333583723,532.6548718,0.299292211
489.7395051,0.276693438,536.9486632,0.24758658
491.4785886,0.218080244,540.9571822,0.197603859
494.0734895,0.154298325,545.5333051,0.149347721
497.5222471,0.088795949,551.2426752,0.10799302
503.8090243,0.031926496,559.7920256,0.071822974
513.4896613,0.006106154,570.0441878,0.040832682
522.8732621,0.002698324,578.5798138,0.028800508
,,588.8231531,0.013327419
,,600.4820712,0.008205259
,,611.8537562,0.008254275
,,623.2293625,0.001406756
,,635.7401766,-0.001987594
