Wavelength,Excitation,Wavelength,Emission
353.7256753,0.010792354,473.320265,0.003503551
359.0195832,0.010496362,480.057272,0.004181866
364.3138158,0.00970705,486.7890131,0.012864298
369.6079834,0.009016402,491.8279655,0.034353318
374.9015019,0.009312394,494.4568289,0.06170298
380.1952151,0.009312394,496.6017324,0.093176797
385.4882793,0.010299034,498.0257179,0.123203542
390.7817328,0.01069369,498.969742,0.15127674
396.0744724,0.01217365,499.9133377,0.18000112
401.3670173,0.013949602,500.8533396,0.214188197
406.6591077,0.016416202,501.5541461,0.246204666
411.9504842,0.019968106,502.2561426,0.276412295
417.2410168,0.024802643,502.9561161,0.309694952
422.5302512,0.031610459,503.6569227,0.341711421
427.8176682,0.041180867,504.1185339,0.371557282
433.1022939,0.054993828,504.8189834,0.404116403
438.3834794,0.07403598,505.4149724,0.449156521
443.421192,0.097409483,505.9643838,0.491845146
447.7364537,0.121666028,506.6625722,0.527841063
451.3302738,0.145271391,507.1234694,0.558772228
454.4423117,0.169690731,507.5840096,0.590246045
457.0744086,0.192125516,508.1792132,0.636479997
459.2241776,0.216203762,508.7270061,0.681628645
461.1334432,0.240099831,509.1885222,0.711619213
463.0412042,0.266282791,509.6501334,0.741465074
464.9476264,0.294500696,510.3483218,0.777460992
466.6147343,0.320728876,510.8099331,0.807306852
468.0425279,0.344967333,511.7306565,0.870797139
469.4707975,0.368482254,512.2679058,0.907588945
470.8997812,0.390911871,513.1329835,0.933744773
472.5670676,0.416868726,513.8362891,0.961962678
474.4750071,0.442780359,516.6459413,0.988823952
476.6248552,0.466738446,519.6224114,0.944995758
479.0155229,0.490398074,520.604088,0.915837256
481.6474447,0.513099017,521.3459504,0.885448743
484.0390832,0.535283148,522.2478714,0.855602882
485.9464744,0.56202814,523.0725358,0.821271098
487.8523611,0.591060023,523.8143031,0.791027292
489.2313121,0.616389814,524.5561655,0.760638779
490.2731754,0.642046401,525.2987419,0.729164962
491.6474332,0.674509855,526.0401284,0.699499985
493.0189756,0.711100679,527.0240422,0.666940864
494.0117471,0.738227251,528.009622,0.631849367
494.7185395,0.761145254,528.7495804,0.604354998
495.6630793,0.788434621,529.9753075,0.569987037
496.7962525,0.821599101,530.9561272,0.5421309
497.5478298,0.849593513,531.937899,0.512827691
498.6836819,0.878686093,533.4018694,0.48207741
499.675749,0.906883498,534.8656018,0.451688897
500.6214272,0.932442408,536.3293342,0.421300384
501.4484559,0.955474971,538.2752653,0.389464799
504.6802093,0.980800455,540.4605107,0.359618938
505.1506437,0.997235059,542.8849514,0.331943685
507.9426836,0.959430302,546.2720044,0.304087548
508.5593552,0.936458033,550.3796898,0.278112605
509.5402345,0.908511454,554.2470851,0.251631186
510.4335039,0.867432696,557.6332337,0.225149768
511.034491,0.831726193,561.0199535,0.197800106
511.7702843,0.810562765,563.925141,0.170884566
512.027806,0.784877236,567.7938215,0.1424496
512.409507,0.753312977,571.4191654,0.11813879
512.9100321,0.724009768,575.7666886,0.093357681
513.4119852,0.692535951,581.0746822,0.0716516
513.9141168,0.660790808,585.9929421,0.642340639
514.4173195,0.627417709,586.8606498,0.05491983
514.9201651,0.594587261,592.7303953,0.642340639
515.423689,0.560725776,593.1251568,0.04230317
515.9267132,0.527624002,599.8689469,0.032671097
516.4295945,0.49473929,599.7084719,0.642340639
516.9326187,0.461637517,606.6115768,0.024802643
517.4351073,0.429349722,613.3528678,0.018969133
517.9372389,0.397604579,620.0936233,0.013949602
518.439192,0.366130762,627.0740799,0.010331922
519.0587198,0.338817277,634.0537928,0.007844767
519.5582928,0.31096114,640.7922277,0.006352474
520.0566759,0.284913843,648.0123556,0.004181866
520.5535833,0.261109508,654.7498089,0.004181866
521.0528469,0.23372367,661.7280441,0.003940687
521.9405828,0.201056018,668.706676,0.003096562
523.022995,0.165078189,675.4441292,0.003096562
524.0058378,0.134147024,682.662829,0.003096562
525.1796441,0.105549263,689.4002823,0.003096562
526.9312201,0.076535468,696.3783588,0.003096562
528.8726767,0.051501122,,
532.4989488,0.025779416,,
537.562353,0.010101706,,
542.8596363,0.004675186,,
548.1540636,0.003589882,,
553.4481014,0.003096562,,
558.7418146,0.003096562,,
564.0355278,0.003096562,,
569.3292411,0.003096562,,
574.6229543,0.003096562,,
579.9166676,0.003096562,,
585.2103808,0.003096562,,
586.6534068,0.735676786,,
590.504094,0.003096562,,
591.94712,0.735676786,,
595.7978073,0.003096562,,
597.2408332,0.735676786,,
600.1290272,0.003096562,,
600.6095598,0.735676786,,
641.0349931,0.003096562,,
645.8474597,0.003096562,,
