Wavelength,Excitation,Wavelength,Emission
401.3114754,0.044971354,554.3169399,0.005585494
407.8688525,0.037994214,561.7486339,0.008981413
415.3005464,0.027549303,569.6174863,0.015833759
421.8579235,0.024032371,574.863388,0.026169002
429.2896175,0.027428291,581.420765,0.057254146
437.1584699,0.030820428,586.2295082,0.084894208
443.715847,0.034223911,590.1639344,0.122922457
452.4590164,0.037608486,593.2240437,0.16095827
459.8907104,0.037544198,595.8469945,0.202458071
466.4480874,0.044407889,598.4699454,0.243957872
473.0054645,0.044351164,600.6557377,0.292381871
480.8743169,0.051203509,602.4043716,0.337349443
486.9945355,0.058070982,604.1530055,0.382317016
493.1147541,0.071858869,606.3387978,0.427280806
499.2349727,0.089106964,608.0874317,0.475708586
505.3551913,0.116735682,609.3989071,0.517219733
511.9125683,0.144360618,611.147541,0.558727097
516.7213115,0.165080265,613.3333333,0.614071511
521.9672131,0.192716547,615.9562842,0.679792766
527.6502732,0.230729669,618.1420765,0.738597387
531.5846995,0.26529771,619.8907104,0.780104752
534.6448087,0.299873315,622.0765027,0.82852875
537.704918,0.330988712,624.6994536,0.873488759
540.7650273,0.362104109,627.3224044,0.908068145
543.3879781,0.400143703,630.8196721,0.946100176
546.8852459,0.438175733,634.7540984,0.980668217
550.3825137,0.476207764,640,0.997923875
554.3169399,0.507315597,644.3715847,1.004806474
559.1256831,0.538415868,651.8032787,0.977060525
564.3715847,0.566052149,656.6120219,0.952797474
568.7431694,0.600616409,660.5464481,0.921621571
572.2404372,0.635188232,664.4808743,0.88698546
575.7377049,0.67668047,667.9781421,0.848892923
578.3606557,0.721640479,671.4754098,0.807340178
580.9836066,0.770060695,676.284153,0.751935258
584.0437158,0.81847713,681.0928962,0.699990546
586.6666667,0.856516724,687.2131148,0.630733451
589.2896175,0.901476733,693.7704918,0.561472574
591.4754098,0.942980317,699.8907104,0.499135894
594.5355191,0.977555921,705.136612,0.4471874
598.9071038,0.994819143,709.0710383,0.412551289
602.4043716,0.970567436,714.3169399,0.36752321
605.0273224,0.932482463,720.8743169,0.322483786
606.7759563,0.890944845,727.431694,0.28090457
608.5245902,0.852867434,731.8032787,0.2566453
610.7103825,0.794024997,737.0491803,0.22891826
612.4590164,0.735186341,744.9180328,0.194248114
613.7704918,0.679811674,751.0382514,0.16651351
615.5191257,0.631353641,758.9071038,0.138763779
616.8306011,0.575978974,766.3387978,0.117938246
618.579235,0.520600526,773.7704918,0.10057292
620.3278689,0.472142492,782.0765027,0.08320003
621.6393443,0.427148449,793.0054645,0.069264659
623.3879781,0.382150623,800,0.058823529
625.136612,0.326772175,,
626.8852459,0.278314141,,
629.0710383,0.233312534,,
631.2568306,0.188310927,,
633.8797814,0.146765746,,
637.3770492,0.101752794,,
642.1857923,0.063648912,,
646.9945355,0.032465445,,
652.6775956,0.018575453,,
658.3606557,0.008145669,,
665.7923497,0.004621173,,
