Wavelength,Excitation,Wavelength,Emission
401.3114754,0.044971354,551.6939891,0.009068391
407.8688525,0.037994214,557.3770492,0.005559022
415.3005464,0.027549303,564.3715847,0.002038308
421.8579235,0.024032371,571.8032787,0.008894435
429.2896175,0.027428291,577.9234973,0.019222115
437.1584699,0.030820428,582.7322404,0.036481555
443.715847,0.034223911,587.9781421,0.057197421
452.4590164,0.037608486,591.9125683,0.088305255
459.8907104,0.037544198,595.4098361,0.11941687
466.4480874,0.044407889,598.0327869,0.157456464
473.0054645,0.044351164,600.6557377,0.195496058
480.8743169,0.051203509,602.8415301,0.236999641
486.9945355,0.058070982,605.0273224,0.278503224
493.1147541,0.071858869,606.7759563,0.316550381
499.2349727,0.089106964,608.5245902,0.358057746
505.3551913,0.116735682,610.7103825,0.409941952
511.9125683,0.144360618,612.4590164,0.458369732
516.7213115,0.165080265,614.2076503,0.499877096
521.9672131,0.192716547,615.5191257,0.534467828
527.6502732,0.230729669,618.579235,0.610565924
531.5846995,0.26529771,616.8306011,0.575978974
534.6448087,0.299873315,620.7650273,0.658989922
537.704918,0.330988712,622.5136612,0.697037079
540.7650273,0.362104109,624.2622951,0.738544444
543.3879781,0.400143703,626.4480874,0.783508235
546.8852459,0.438175733,629.0710383,0.825008036
550.3825137,0.476207764,632.1311475,0.873424471
554.3169399,0.507315597,634.7540984,0.911464065
559.1256831,0.538415868,639.5628415,0.952944958
564.3715847,0.566052149,643.4972678,0.984052792
568.7431694,0.600616409,648.3060109,0.997852024
572.2404372,0.635188232,653.1147541,1.004730841
575.7377049,0.67668047,657.9234973,0.990848413
578.3606557,0.721640479,662.295082,0.970049351
580.9836066,0.770060695,666.2295082,0.942333655
584.0437158,0.81847713,669.2896175,0.911165315
586.6666667,0.856516724,672.7868852,0.86961257
589.2896175,0.901476733,676.284153,0.828059826
591.4754098,0.942980317,680.2185792,0.783043092
594.5355191,0.977555921,683.715847,0.744950555
598.9071038,0.994819143,687.6502732,0.699933821
602.4043716,0.970567436,690.7103825,0.665305274
605.0273224,0.932482463,693.7704918,0.630676726
606.7759563,0.890944845,697.2677596,0.589123981
608.5245902,0.852867434,701.6393443,0.537183051
610.7103825,0.794024997,705.136612,0.502550721
612.4590164,0.735186341,708.6338798,0.467918392
613.7704918,0.679811674,713.0054645,0.429818292
615.5191257,0.631353641,716.9398907,0.395182181
616.8306011,0.575978974,720.4371585,0.370930474
618.579235,0.520600526,724.8087432,0.336290582
620.3278689,0.472142492,730.4918033,0.298179137
621.6393443,0.427148449,736.1748634,0.266988107
623.3879781,0.382150623,741.8579235,0.235797077
625.136612,0.326772175,747.1038251,0.208070036
626.8852459,0.278314141,754.0983607,0.183788076
629.0710383,0.233312534,759.7814208,0.159517462
631.2568306,0.188310927,766.7759563,0.135235502
633.8797814,0.146765746,774.2076503,0.114409968
637.3770492,0.101752794,782.0765027,0.097040861
642.1857923,0.063648912,789.5081967,0.083135742
646.9945355,0.032465445,796.0655738,0.069238187
652.6775956,0.018575453,,
658.3606557,0.008145669,,
665.7923497,0.004621173,,
