wavelength,excitation,wavelength,emission
300,0.151,530,0.02
301,0.139,531,0.025
302,0.13,532,0.03
303,0.122,533,0.037
304,0.115,534,0.045
305,0.11,535,0.056
306,0.107,536,0.066
307,0.105,537,0.083
308,0.105,538,0.105
309,0.107,539,0.131
310,0.11,540,0.155
311,0.113,541,0.178
312,0.117,542,0.202
313,0.12,543,0.236
314,0.123,544,0.276
315,0.126,545,0.322
316,0.128,546,0.367
317,0.132,547,0.416
318,0.135,548,0.473
319,0.139,549,0.531
320,0.143,550,0.587
321,0.148,551,0.645
322,0.154,552,0.697
323,0.161,553,0.751
324,0.168,554,0.803
325,0.175,555,0.847
326,0.18,556,0.89
327,0.183,557,0.923
328,0.184,558,0.952
329,0.182,559,0.975
330,0.176,560,0.99
331,0.169,561,0.996
332,0.158,562,1
333,0.146,563,0.996
334,0.134,564,0.987
335,0.122,565,0.977
336,0.112,566,0.958
337,0.103,567,0.94
338,0.094,568,0.918
339,0.086,569,0.896
340,0.08,570,0.872
341,0.074,571,0.845
342,0.069,572,0.818
343,0.065,573,0.793
344,0.062,574,0.766
345,0.058,575,0.74
346,0.056,576,0.714
347,0.053,577,0.691
348,0.051,578,0.668
349,0.049,579,0.647
350,0.047,580,0.625
351,0.045,581,0.606
352,0.043,582,0.59
353,0.041,583,0.572
354,0.039,584,0.557
355,0.036,585,0.545
356,0.034,586,0.529
357,0.032,587,0.519
358,0.03,588,0.509
359,0.028,589,0.499
360,0.026,590,0.492
361,0.024,591,0.483
362,0.022,592,0.477
363,0.02,593,0.472
364,0.019,594,0.466
365,0.018,595,0.461
366,0.017,596,0.456
367,0.016,597,0.449
368,0.015,598,0.444
369,0.015,599,0.442
370,0.014,600,0.435
371,0.013,601,0.429
372,0.012,602,0.424
373,0.012,603,0.415
374,0.011,604,0.41
375,0.01,605,0.404
376,0.009,606,0.397
377,0.008,607,0.391
378,0.007,608,0.383
379,0.006,609,0.375
380,0.005,610,0.366
381,0.004,611,0.36
382,0.004,612,0.35
383,0.003,613,0.342
384,0.003,614,0.332
385,0.002,615,0.322
386,0.002,616,0.316
387,0.002,617,0.304
388,0.002,618,0.294
389,0.002,619,0.286
390,0.001,620,0.277
391,0.001,621,0.267
392,0.001,622,0.258
393,0.001,623,0.251
394,0.001,624,0.242
395,0.001,625,0.234
396,0.002,626,0.225
397,0.002,627,0.216
398,0.002,628,0.21
399,0.002,629,0.202
400,0.002,630,0.196
401,0.002,631,0.19
402,0.002,632,0.182
403,0.002,633,0.176
404,0.002,634,0.169
405,0.002,635,0.163
406,0.003,636,0.157
407,0.003,637,0.153
408,0.003,638,0.148
409,0.003,639,0.144
410,0.003,640,0.139
411,0.003,641,0.134
412,0.004,642,0.13
413,0.004,643,0.128
414,0.004,644,0.124
415,0.004,645,0.119
416,0.005,646,0.116
417,0.005,647,0.111
418,0.005,648,0.108
419,0.006,649,0.106
420,0.006,650,0.103
421,0.006,651,0.1
422,0.007,652,0.097
423,0.007,653,0.095
424,0.008,654,0.091
425,0.008,655,0.09
426,0.008,656,0.086
427,0.009,657,0.083
428,0.009,658,0.08
429,0.01,659,0.078
430,0.011,660,0.077
431,0.011,661,0.074
432,0.012,662,0.072
433,0.013,663,0.07
434,0.014,664,0.069
435,0.015,665,0.066
436,0.016,666,0.063
437,0.017,667,0.062
438,0.018,668,0.061
439,0.019,669,0.059
440,0.02,670,0.057
441,0.021,671,0.056
442,0.023,672,0.054
443,0.024,673,0.052
444,0.025,674,0.051
445,0.027,675,0.049
446,0.028,676,0.047
447,0.03,677,0.046
448,0.032,678,0.045
449,0.034,679,0.044
450,0.035,680,0.042
451,0.037,681,0.041
452,0.039,682,0.04
453,0.041,683,0.038
454,0.044,684,0.037
455,0.046,685,0.035
456,0.049,686,0.035
457,0.051,687,0.034
458,0.054,688,0.032
459,0.057,689,0.032
460,0.06,690,0.03
461,0.063,691,0.029
462,0.067,692,0.028
463,0.07,693,0.027
464,0.074,694,0.027
465,0.079,695,0.026
466,0.083,696,0.024
467,0.087,697,0.024
468,0.091,698,0.024
469,0.096,699,0.023
470,0.102,700,0.022
471,0.107,,
472,0.114,,
473,0.118,,
474,0.122,,
475,0.129,,
476,0.134,,
477,0.139,,
478,0.144,,
479,0.149,,
480,0.153,,
481,0.157,,
482,0.162,,
483,0.167,,
484,0.171,,
485,0.177,,
486,0.183,,
487,0.188,,
488,0.196,,
489,0.202,,
490,0.21,,
491,0.219,,
492,0.225,,
493,0.234,,
494,0.245,,
495,0.256,,
496,0.269,,
497,0.282,,
498,0.296,,
499,0.311,,
500,0.327,,
501,0.344,,
502,0.361,,
503,0.378,,
504,0.395,,
505,0.413,,
506,0.429,,
507,0.445,,
508,0.459,,
509,0.472,,
510,0.483,,
511,0.491,,
512,0.498,,
513,0.503,,
514,0.506,,
515,0.507,,
516,0.508,,
517,0.508,,
518,0.506,,
519,0.505,,
520,0.505,,
521,0.506,,
522,0.508,,
523,0.509,,
524,0.515,,
525,0.522,,
526,0.53,,
527,0.54,,
528,0.552,,
529,0.566,,
530,0.582,,
531,0.599,,
532,0.617,,
533,0.64,,
534,0.664,,
535,0.689,,
536,0.714,,
537,0.744,,
538,0.774,,
539,0.807,,
540,0.838,,
541,0.866,,
542,0.897,,
543,0.925,,
544,0.95,,
545,0.971,,
546,0.987,,
547,0.996,,
548,1,,
549,0.995,,
550,0.984,,
551,0.963,,
552,0.936,,
553,0.899,,
554,0.856,,
555,0.806,,
556,0.755,,
557,0.699,,
558,0.639,,
559,0.58,,
560,0.527,,
