Wavelength,Excitation,Wavelength,Emission
492,0.072499998,574,0.031399999
493,0.077600002,575,0.037700001
494,0.083499998,576,0.0462
495,0.089699998,577,0.0559
496,0.096100003,578,0.061099999
497,0.101999998,579,0.074299999
498,0.108000003,580,0.094099998
499,0.112999998,581,0.108999997
500,0.116999999,582,0.119000003
501,0.119999997,583,0.129999995
502,0.120999999,584,0.150000006
503,0.122000001,585,0.172999993
504,0.126000002,586,0.201000005
505,0.133000001,587,0.233999997
506,0.138999999,588,0.273999989
507,0.143999994,589,0.307999998
508,0.150999993,590,0.338999987
509,0.157000005,591,0.372000009
510,0.159999996,592,0.414999992
511,0.164000005,593,0.451000005
512,0.170000002,594,0.488999993
513,0.175999999,595,0.531000018
514,0.178000003,596,0.574999988
515,0.181999996,597,0.614000022
516,0.188999996,598,0.654999971
517,0.200000003,599,0.689999998
518,0.209000006,600,0.728999972
519,0.216000006,601,0.763999999
520,0.224000007,602,0.800999999
521,0.231000006,603,0.832000017
522,0.239999995,604,0.874000013
523,0.246999994,605,0.89200002
524,0.259000003,606,0.907000005
525,0.266000003,607,0.941999972
526,0.280999988,608,0.958000004
527,0.289999992,609,0.967999995
528,0.301999986,610,0.989000022
529,0.307000011,611,0.992999971
530,0.319999993,612,0.994000018
531,0.335000008,613,0.992999971
532,0.349999994,614,0.986999989
533,0.360000014,615,0.978999972
534,0.375999987,616,0.973999977
535,0.391000003,617,0.968999982
536,0.40200001,618,0.95599997
537,0.416000009,619,0.947000027
538,0.432000011,620,0.93599999
539,0.442000002,621,0.915000021
540,0.453000009,622,0.893999994
541,0.467999995,623,0.873000026
542,0.48300001,624,0.852999985
543,0.495999992,625,0.833000004
544,0.509000003,626,0.81400001
545,0.51700002,627,0.795000017
546,0.526000023,628,0.773000002
547,0.532999992,629,0.758000016
548,0.541000009,630,0.748000026
549,0.549000025,631,0.73299998
550,0.555000007,632,0.717999995
551,0.560000002,633,0.708000004
552,0.564999998,634,0.694999993
553,0.566999972,635,0.675999999
554,0.57099998,636,0.666000009
555,0.577000022,637,0.653999984
556,0.58099997,638,0.634000003
557,0.583000004,639,0.620000005
558,0.587000012,640,0.610000014
559,0.593999982,641,0.593999982
560,0.600000024,642,0.578000009
561,0.603999972,643,0.57099998
562,0.609000027,644,0.565999985
563,0.61500001,645,0.555000007
564,0.626999974,646,0.54400003
565,0.634000003,647,0.533999979
566,0.648000002,648,0.524999976
567,0.654999971,649,0.519999981
568,0.666000009,650,0.50999999
569,0.680000007,651,0.499000013
570,0.69599998,652,0.490999997
571,0.699000001,653,0.486999989
572,0.703000009,654,0.481999993
573,0.717000008,655,0.47299999
574,0.739000022,656,0.465000004
575,0.759000003,657,0.453000009
576,0.779999971,658,0.448000014
577,0.800000012,659,0.441000015
578,0.819999993,660,0.433999985
579,0.842000008,661,0.426999986
580,0.862999976,662,0.421999991
581,0.879999995,663,0.416999996
582,0.898999989,664,0.412999988
583,0.921000004,665,0.407999992
584,0.943000019,666,0.404000014
585,0.954999983,667,0.395000011
586,0.963,668,0.388999999
587,0.968999982,669,0.379999995
588,0.977999985,670,0.374000013
589,0.985000014,671,0.368999988
590,0.99000001,672,0.361999989
591,0.989000022,673,0.354000002
592,0.984000027,674,0.342999995
593,0.975000024,675,0.337000012
594,0.958000004,676,0.333000004
595,0.944000006,677,0.326000005
596,0.934000015,678,0.317999989
597,0.921999991,679,0.312000006
598,0.866999984,680,0.308999985
599,0.791000009,681,0.303000003
600,0.73299998,682,0.294999987
601,0.704999983,683,0.287999988
602,0.672999978,684,0.280999988
603,0.633000016,685,0.273000002
604,0.601000011,686,0.26699999
605,0.56400001,687,0.261000007
606,0.500999987,688,0.254000008
607,0.432999998,689,0.246999994
608,0.393999994,690,0.238999993
609,0.389999986,691,0.232999995
610,0.389999986,692,0.228
611,0.363000005,693,0.226999998
612,0.314999998,694,0.218999997
613,0.272000015,695,0.211999997
614,0.246999994,696,0.206
615,0.230000004,697,0.199000001
616,0.203999996,698,0.192000002
617,0.173999995,699,0.188999996
618,0.145999998,700,0.182999998
619,0.126000002,701,0.178000003
620,0.112999998,702,0.173999995
621,0.104000002,703,0.169
622,0.088600002,704,0.162
623,0.072800003,705,0.159999996
624,0.060400002,706,0.159999996
625,0.0526,707,0.155000001
626,0.044599999,708,0.150000006
627,0.039999999,709,0.148000002
,,710,0.147
,,711,0.141000003
,,712,0.135000005
,,713,0.134000003
,,714,0.129999995
,,715,0.123999998
,,716,0.120999999
,,717,0.120999999
,,718,0.115999997
,,719,0.112000003
,,720,0.108999997
,,721,0.109999999
,,722,0.108000003
,,723,0.103
,,724,0.099399999
,,725,0.097999997
,,726,0.096199997
,,727,0.093699999
,,728,0.092600003
,,729,0.092200004
,,730,0.086999997
,,731,0.082599998
,,732,0.081200004
,,733,0.082400002
,,734,0.079099998
,,735,0.076700002
,,736,0.076300003
,,737,0.076800004
,,738,0.074100003
,,739,0.071099997
,,740,0.069499999
,,741,0.07
,,742,0.071500003
,,743,0.069799997
,,744,0.066500001
,,745,0.063699998
,,746,0.062199999
,,747,0.0601
,,748,0.0592
,,749,0.0581
,,750,0.052999999
,,751,0.0504
