Wavelength,Excitation,Wavelength,Emission
253.0054645,0.118299445,556.557377,0.024029575
256.7622951,0.121996303,560.3142077,0.033271719
260.5191257,0.133086876,561.8169399,0.051756007
263.5245902,0.146025878,564.0710383,0.081330869
267.2814208,0.15896488,564.8224044,0.11090573
271.0382514,0.168207024,565.5737705,0.14232902
274.0437158,0.171903882,567.0765027,0.175600739
280.0546448,0.168207024,568.579235,0.208872458
283.0601093,0.155268022,568.579235,0.231053604
285.3142077,0.140480591,569.3306011,0.258780037
287.568306,0.12754159,570.0819672,0.284658041
289.8224044,0.112754159,570.8333333,0.312384473
291.3251366,0.097966728,572.3360656,0.34935305
293.579235,0.081330869,572.3360656,0.373382625
295.0819672,0.070240296,573.0874317,0.401109057
298.0874317,0.055452865,573.8387978,0.438077634
301.8442623,0.036968577,574.5901639,0.473197782
307.1038251,0.025878004,576.0928962,0.510166359
312.363388,0.018484288,576.0928962,0.543438078
322.1311475,0.020332717,576.8442623,0.565619224
332.6502732,0.022181146,577.5956284,0.597042514
340.1639344,0.024029575,578.3469945,0.626617375
347.6775956,0.025878004,579.8497268,0.661737523
354.4398907,0.029574861,581.352459,0.693160813
359.6994536,0.027726433,581.352459,0.719038817
367.2131148,0.027726433,582.8551913,0.752310536
375.4781421,0.025878004,583.6065574,0.774491682
384.4945355,0.020332717,584.3579235,0.796672828
392.0081967,0.011090573,585.1092896,0.818853974
401.7759563,0.003696858,586.6120219,0.844731978
416.8032787,0.003696858,587.363388,0.870609982
430.3278689,0.001848429,589.6174863,0.898336414
443.852459,0.009242144,591.1202186,0.918669131
452.8688525,0.012939002,592.6229508,0.942698706
460.3825137,0.022181146,594.8770492,0.966728281
467.8961749,0.03142329,598.6338798,0.988909427
471.6530055,0.038817006,603.8934426,1.001848429
476.1612022,0.051756007,608.4016393,0.988909427
479.9180328,0.06284658,612.1584699,0.96857671
483.6748634,0.075785582,614.4125683,0.948243993
488.9344262,0.092421442,616.6666667,0.926062847
491.9398907,0.103512015,618.1693989,0.902033272
495.6967213,0.121996303,621.1748634,0.876155268
498.7021858,0.14232902,623.4289617,0.846580407
500.9562842,0.155268022,625.6830601,0.815157116
502.4590164,0.173752311,627.9371585,0.79297597
504.7131148,0.195933457,629.4398907,0.768946396
506.215847,0.218114603,631.6939891,0.739371534
508.4699454,0.240295749,633.1967213,0.709796673
510.7240437,0.266173752,635.4508197,0.68207024
512.226776,0.28650647,636.2021858,0.658040665
515.2322404,0.31792976,638.4562842,0.632162662
515.9836066,0.334565619,641.4617486,0.597042514
518.989071,0.358595194,642.9644809,0.576709797
520.4918033,0.377079482,645.2185792,0.543438078
522.7459016,0.404805915,647.4726776,0.513863216
527.2540984,0.441774492,650.4781421,0.480591497
531.010929,0.469500924,653.4836066,0.449168207
534.7677596,0.506469501,655.7377049,0.415896488
536.2704918,0.526802218,658.7431694,0.388170055
540.0273224,0.574861368,661.7486339,0.364140481
543.0327869,0.66728281,665.5054645,0.330868762
546.7896175,0.74676525,670.7650273,0.290203327
548.2923497,0.765249538,674.5218579,0.258780037
549.795082,0.820702403,680.5327869,0.229205176
551.2978142,0.853974122,685.7923497,0.197781885
552.0491803,0.896487985,692.5546448,0.168207024
554.3032787,0.942698706,697.8142077,0.144177449
555.0546448,0.963031423,704.5765027,0.123844732
555.8060109,0.990757856,712.8415301,0.103512015
559.5628415,1.001848429,719.6038251,0.086876155
562.568306,0.979667283,730.8743169,0.068391867
563.3196721,0.961182994,743.647541,0.051756007
563.3196721,0.916820702,753.4153005,0.042513863
566.3251366,0.876155268,764.6857923,0.033271719
567.8278689,0.824399261,776.7076503,0.025878004
570.0819672,0.733826248,787.226776,0.022181146
570.8333333,0.717190388,796.9945355,0.01663586
571.5846995,0.683918669,,
572.3360656,0.663585952,,
574.5901639,0.578558226,,
574.5901639,0.558225508,,
576.0928962,0.528650647,,
576.0928962,0.50831793,,
574.5901639,0.458410351,,
578.3469945,0.432532348,,
579.0983607,0.419593346,,
579.8497268,0.378927911,,
582.1038251,0.316081331,,
582.8551913,0.299445471,,
586.6120219,0.219963031,,
591.8715847,0.153419593,,
596.3797814,0.107208872,,
599.3852459,0.081330869,,
604.6448087,0.053604436,,
607.6502732,0.036968577,,
615.9153005,0.018484288,,
624.1803279,0.007393715,,
634.6994536,0,,
