Wavelength,Excitation,Wavelength,Emission
436.2440191,-0.003460208,549.7009569,0.027681661
445.8732057,0.003460208,556.8181818,0.117647059
460.1076555,0.020761246,560.5861244,0.214532872
477.2727273,0.062283737,563.5167464,0.276816609
494.437799,0.131487889,565.6100478,0.37716263
506.1602871,0.242214533,568.9593301,0.487889273
515.7894737,0.370242215,571.4712919,0.581314879
529.1866029,0.484429066,573.9832536,0.653979239
536.722488,0.553633218,576.9138756,0.764705882
540.9090909,0.636678201,581.5191388,0.868512111
544.6770335,0.743944637,588.6363636,0.961937716
548.8636364,0.858131488,599.9401914,1.003460208
551.7942584,0.923875433,609.569378,0.948096886
554.7248804,0.993079585,618.361244,0.865051903
561.8421053,0.979238754,626.3157895,0.775086505
564.354067,0.896193772,632.5956938,0.678200692
567.7033493,0.761245675,640.1315789,0.584775087
569.7966507,0.6816609,647.2488038,0.487889273
571.8899522,0.602076125,655.6220096,0.408304498
573.5645933,0.525951557,665.2511962,0.325259516
574.8205742,0.442906574,676.5550239,0.266435986
577.3325359,0.37716263,687.8588517,0.204152249
579.8444976,0.30449827,699.5813397,0.162629758
583.6124402,0.23183391,,
587.7990431,0.162629758,,
593.2416268,0.103806228,,
599.9401914,0.048442907,,
607.8947368,0.027681661,,
617.1052632,0.017301038,,
628.8277512,0.01384083,,
557.6555024,1.010380623,,
