wavelength,excitation,wavelength,emission
300,0.161,530,0.001
301,0.126,531,0.002
302,0.111,532,0.002
303,0.099,533,0.002
304,0.087,534,0.003
305,0.079,535,0.003
306,0.073,536,0.004
307,0.069,537,0.008
308,0.066,538,0.017
309,0.064,539,0.023
310,0.063,540,0.022
311,0.064,541,0.016
312,0.066,542,0.013
313,0.068,543,0.014
314,0.07,544,0.016
315,0.074,545,0.019
316,0.077,546,0.021
317,0.082,547,0.024
318,0.087,548,0.029
319,0.092,549,0.033
320,0.098,550,0.038
321,0.103,551,0.043
322,0.108,552,0.048
323,0.113,553,0.055
324,0.117,554,0.061
325,0.121,555,0.068
326,0.126,556,0.075
327,0.13,557,0.084
328,0.136,558,0.093
329,0.141,559,0.102
330,0.149,560,0.111
331,0.156,561,0.121
332,0.163,562,0.132
333,0.171,563,0.146
334,0.179,564,0.158
335,0.188,565,0.171
336,0.194,566,0.186
337,0.197,567,0.204
338,0.2,568,0.222
339,0.2,569,0.241
340,0.195,570,0.263
341,0.19,571,0.288
342,0.181,572,0.314
343,0.171,573,0.342
344,0.162,574,0.372
345,0.152,575,0.407
346,0.143,576,0.443
347,0.136,577,0.474
348,0.13,578,0.517
349,0.125,579,0.557
350,0.122,580,0.595
351,0.119,581,0.637
352,0.117,582,0.675
353,0.115,583,0.714
354,0.113,584,0.752
355,0.112,585,0.786
356,0.112,586,0.821
357,0.11,587,0.853
358,0.11,588,0.88
359,0.108,589,0.908
360,0.107,590,0.937
361,0.107,591,0.95
362,0.106,592,0.971
363,0.105,593,0.985
364,0.103,594,0.988
365,0.103,595,0.994
366,0.101,596,1
367,0.1,597,0.998
368,0.098,598,0.992
369,0.096,599,0.986
370,0.093,600,0.969
371,0.091,601,0.959
372,0.088,602,0.938
373,0.084,603,0.928
374,0.08,604,0.909
375,0.077,605,0.886
376,0.074,606,0.868
377,0.069,607,0.848
378,0.065,608,0.827
379,0.062,609,0.804
380,0.059,610,0.785
381,0.055,611,0.762
382,0.052,612,0.743
383,0.049,613,0.724
384,0.047,614,0.705
385,0.044,615,0.688
386,0.042,616,0.668
387,0.039,617,0.654
388,0.037,618,0.636
389,0.036,619,0.618
390,0.033,620,0.603
391,0.031,621,0.593
392,0.029,622,0.578
393,0.027,623,0.562
394,0.025,624,0.554
395,0.023,625,0.541
396,0.021,626,0.533
397,0.019,627,0.52
398,0.017,628,0.512
399,0.015,629,0.505
400,0.013,630,0.493
401,0.012,631,0.488
402,0.01,632,0.481
403,0.009,633,0.473
404,0.008,634,0.464
405,0.007,635,0.463
406,0.006,636,0.456
407,0.005,637,0.447
408,0.004,638,0.445
409,0.004,639,0.438
410,0.003,640,0.427
411,0.003,641,0.424
412,0.003,642,0.415
413,0.003,643,0.411
414,0.003,644,0.408
415,0.002,645,0.4
416,0.003,646,0.392
417,0.002,647,0.384
418,0.003,648,0.378
419,0.003,649,0.371
420,0.003,650,0.366
421,0.003,651,0.358
422,0.003,652,0.352
423,0.003,653,0.344
424,0.004,654,0.335
425,0.004,655,0.331
426,0.004,656,0.32
427,0.004,657,0.312
428,0.004,658,0.305
429,0.005,659,0.3
430,0.005,660,0.291
431,0.005,661,0.285
432,0.006,662,0.278
433,0.006,663,0.27
434,0.006,664,0.261
435,0.007,665,0.255
