wavelength,excitation,wavelength,emission
300,0.192,545,0.023
301,0.157,546,0.026
302,0.122,547,0.031
303,0.108,548,0.036
304,0.098,549,0.042
305,0.09,550,0.049
306,0.084,551,0.057
307,0.08,552,0.065
308,0.078,553,0.074
309,0.076,554,0.085
310,0.076,555,0.097
311,0.077,556,0.111
312,0.079,557,0.127
313,0.081,558,0.145
314,0.084,559,0.165
315,0.087,560,0.185
316,0.091,561,0.211
317,0.096,562,0.239
318,0.1,563,0.269
319,0.105,564,0.304
320,0.11,565,0.341
321,0.115,566,0.382
322,0.12,567,0.425
323,0.124,568,0.47
324,0.13,569,0.513
325,0.135,570,0.561
326,0.139,571,0.609
327,0.145,572,0.66
328,0.15,573,0.705
329,0.156,574,0.75
330,0.161,575,0.794
331,0.167,576,0.834
332,0.173,577,0.868
333,0.179,578,0.902
334,0.183,579,0.926
335,0.188,580,0.951
336,0.19,581,0.968
337,0.191,582,0.984
338,0.192,583,0.994
339,0.189,584,0.998
340,0.185,585,1
341,0.179,586,0.998
342,0.173,587,0.992
343,0.167,588,0.98
344,0.161,589,0.968
345,0.154,590,0.952
346,0.147,591,0.938
347,0.142,592,0.92
348,0.136,593,0.9
349,0.131,594,0.879
350,0.126,595,0.858
351,0.122,596,0.837
352,0.117,597,0.816
353,0.113,598,0.795
354,0.11,599,0.775
355,0.107,600,0.755
356,0.104,601,0.737
357,0.102,602,0.718
358,0.099,603,0.7
359,0.097,604,0.682
360,0.096,605,0.667
361,0.093,606,0.652
362,0.091,607,0.638
363,0.089,608,0.624
364,0.087,609,0.612
365,0.085,610,0.602
366,0.083,611,0.591
367,0.08,612,0.58
368,0.077,613,0.572
369,0.074,614,0.561
370,0.071,615,0.554
371,0.068,616,0.545
372,0.065,617,0.535
373,0.061,618,0.528
374,0.058,619,0.52
375,0.056,620,0.515
376,0.052,621,0.506
377,0.05,622,0.499
378,0.047,623,0.494
379,0.044,624,0.487
380,0.042,625,0.48
381,0.04,626,0.474
382,0.038,627,0.468
383,0.036,628,0.461
