Wavelength,Excitation,Wavelength,Emission
401.7271157,0.050049346,451.3816926,0
413.3851468,0.097779423,459.5854922,0
423.3160622,0.166921622,467.357513,0.000674398
430.224525,0.236035036,473.402418,0.019779587
436.2694301,0.305140225,477.7202073,0.057915947
440.5872193,0.378990871,480.3108808,0.103178715
444.0414508,0.448071387,482.0379965,0.150814212
447.0639033,0.519528744,484.1968912,0.212739535
449.6545769,0.588601036,485.0604491,0.272271568
453.1088083,0.660062505,486.3557858,0.319902953
457.4265976,0.731532198,487.6511226,0.377058146
468.2210708,0.791158812,488.0829016,0.424681306
473.8341969,0.862640842,489.3782383,0.486598404
477.7202073,0.936487376,489.8100173,0.534221564
483.7651123,0.998449708,490.6735751,0.586610741
488.0829016,0.929443211,491.537133,0.648523727
489.8100173,0.86041204,492.8324698,0.710440826
491.537133,0.79138087,494.1278066,0.774738877
494.1278066,0.650929353,494.9913644,0.841413768
494.9913644,0.579509006,496.2867012,0.903330866
495.8549223,0.546183897,497.582038,0.962867012
496.2867012,0.472378485,500.6044905,0.993848178
498.0138169,0.403347315,504.0587219,0.948642981
499.3091537,0.334312032,505.7858377,0.896278477
500.6044905,0.260514845,507.0811744,0.846290813
502.3316062,0.191483675,508.3765112,0.789160293
504.9222798,0.122460729,509.671848,0.736791677
508.3765112,0.051065055,511.3989637,0.674903364
518.7392055,0,512.2625216,0.615387779
,,514.4214162,0.560646435
,,516.5803109,0.505905091
,,518.7392055,0.463068509
,,521.3298791,0.415474134
,,524.7841105,0.372649889
,,528.6701209,0.33459166
,,532.9879102,0.296537544
,,537.3056995,0.258483428
,,541.1917098,0.213282342
,,544.6459413,0.175220002
,,548.9637306,0.132403981
,,553.2815199,0.094349864
,,560.1899827,0.061082326
,,567.5302245,0.039723661
,,575.3022453,0.023131014
,,584.8013817,0.013697673
,,592.1416235,0.006624722
,,600.3454231,0.001940949
