wavelength,excitation,wavelength,emission
400,0.0112,544,0.02879
403,0.0121,545,
405,0.013,546,
409,0.0155,547,0.05131
412,0.0181,549,0.07134
417,0.0224,550,
424,0.031,551,0.10638
431,0.0431,553,0.13767
439,0.0628,554,0.16896
450,0.1015,556,0.22028
459,0.1341,558,0.28285
466,0.1616,559,0.33792
473,0.2002,561,0.41176
477,0.2234,562,
481,0.2432,563,0.47559
485,0.2595,564,0.5582
492,0.2861,566,0.6433
495,0.3076,568,
498,0.3299,569,0.74969
500,0.3497,570,0.79224
502,0.3806,571,0.84481
504,0.4123,572,
508,0.4664,573,0.89487
512,0.5282,574,0.93867
514,0.5514,577,0.97372
516,0.5703,579,0.99374
518,0.5815,580,0.99875
520,0.5926,581,
522,0.6004,582,1
524,0.6064,584,0.98498
526,0.6115,587,0.95745
528,0.6201,589,
530,0.6304,591,0.91489
532,0.6416,593,
533,0.6493,594,0.86108
534,0.663,597,0.81977
535,0.6733,599,
536,0.6948,602,0.76971
539,0.736,604,
542,0.7978,606,0.72591
544,,610,0.68461
545,0.8519,615,0.64205
546,0.8931,617,
547,,618,0.60951
549,0.936,622,0.57822
550,0.9575,623,
551,0.979,626,0.53442
553,0.9893,631,0.48561
554,0.9996,636,0.43054
556,0.9936,640,0.37672
558,0.973,644,0.34293
559,0.9507,648,0.31039
561,0.9189,652,0.27534
562,0.8777,656,0.24531
563,,660,0.21652
564,0.803,664,0.19024
566,0.749,670,0.16145
568,0.646,674,0.14518
569,0.5704,678,0.12641
570,,685,0.10889
571,,692,0.08886
572,0.4657,697,0.07635
573,0.3919,699,0.07259
574,,,
577,0.2751,,
579,0.2228,,
580,0.191,,
581,0.1601,,
582,,,
584,0.1078,,
587,,,
589,0.0546,,
591,,,
593,0.0323,,
594,,,
597,,,
599,0.0125,,
602,,,
604,0.0065,,
606,,,
610,0.004,,
615,,,
617,0.0023,,
618,,,
622,,,
623,0.0014,,
